conditioned_on_core_fit_success,core_duration_s,metric,n_logs,run,trainer,training_duration_s,value
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,oracle-power,1.0,1.4054301508103708
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,oracle-power,1.0,0.08659919676713025
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,oracle-power,2.0,1.4685708415795273
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,oracle-power,2.0,0.09486108872175752
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,oracle-power,3.0,1.5568906147073025
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,oracle-power,3.0,0.09473776881663544
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,oracle-power,4.0,1.5576613436789644
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,oracle-power,4.0,0.09426134247725096
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,oracle-power,5.0,1.4716932450551103
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,oracle-power,5.0,0.09376473864039965
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,self-supervised,1.0,4.174854285586449
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,self-supervised,1.0,0.24284084712306073
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,self-supervised,2.0,3.4457591706523747
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,self-supervised,2.0,0.1859310776296753
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,self-supervised,3.0,3.421490365734978
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,self-supervised,3.0,0.17465344790490772
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,self-supervised,4.0,3.266073938162424
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,self-supervised,4.0,0.16770361063958553
True,1.0,aligned_rmse,11,random-window-front-v1-shorter,self-supervised,5.0,3.2802490792354604
True,1.0,aligned_nrmse_std,11,random-window-front-v1-shorter,self-supervised,5.0,0.17862573282241584
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-isotonic,10.0,1.7348509057041848
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-isotonic,10.0,0.09484411773843146
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-isotonic,120.0,2.043815756874114
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-isotonic,120.0,0.11078583819709535
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-isotonic,20.0,1.8784358866445636
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-isotonic,20.0,0.09998638537459022
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-isotonic,40.0,2.0040969920541825
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-isotonic,40.0,0.10507926623659086
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-isotonic,5.0,1.5582903877084062
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-isotonic,5.0,0.08585526581439468
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-isotonic,60.0,2.032129346102627
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-isotonic,60.0,0.10824660933119733
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-power,10.0,2.0848573603745058
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-power,10.0,0.10735146329769055
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-power,120.0,2.1634869058961232
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-power,120.0,0.11841763705716918
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-power,20.0,2.0902008336076494
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-power,20.0,0.10897326668068036
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-power,40.0,2.1805569883959244
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-power,40.0,0.11029406736887058
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-power,5.0,2.029259304518437
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-power,5.0,0.10642400873307155
True,5.0,aligned_rmse,11,random-window-front-v1,oracle-power,60.0,2.1897047905869966
True,5.0,aligned_nrmse_std,11,random-window-front-v1,oracle-power,60.0,0.11209991129509186
True,5.0,aligned_rmse,11,random-window-front-v1,self-supervised,10.0,3.2021070938318648
True,5.0,aligned_nrmse_std,11,random-window-front-v1,self-supervised,10.0,0.17478642834289457
True,5.0,aligned_rmse,11,random-window-front-v1,self-supervised,120.0,3.3760252074586976
True,5.0,aligned_nrmse_std,11,random-window-front-v1,self-supervised,120.0,0.19137912681761912
True,5.0,aligned_rmse,11,random-window-front-v1,self-supervised,20.0,3.188779428814505
True,5.0,aligned_nrmse_std,11,random-window-front-v1,self-supervised,20.0,0.1700311415698167
True,5.0,aligned_rmse,11,random-window-front-v1,self-supervised,40.0,3.4943204107871604
True,5.0,aligned_nrmse_std,11,random-window-front-v1,self-supervised,40.0,0.17541150956563023
True,5.0,aligned_rmse,11,random-window-front-v1,self-supervised,5.0,3.4116982354239207
True,5.0,aligned_nrmse_std,11,random-window-front-v1,self-supervised,5.0,0.18091096495075562
True,5.0,aligned_rmse,11,random-window-front-v1,self-supervised,60.0,3.2888771941738777
True,5.0,aligned_nrmse_std,11,random-window-front-v1,self-supervised,60.0,0.17178242125982163
True,1.0,aligned_rmse,24,random-window-front-v2,oracle-power,1.0,1.9321326346557464
True,1.0,aligned_nrmse_std,24,random-window-front-v2,oracle-power,1.0,0.10943328213622502
True,1.0,aligned_rmse,24,random-window-front-v2,oracle-power,10.0,2.5416608066143844
True,1.0,aligned_nrmse_std,24,random-window-front-v2,oracle-power,10.0,0.14053523570507612
True,1.0,aligned_rmse,24,random-window-front-v2,oracle-power,2.0,2.13446935753563
True,1.0,aligned_nrmse_std,24,random-window-front-v2,oracle-power,2.0,0.12307741218609002
True,1.0,aligned_rmse,24,random-window-front-v2,oracle-power,40.0,2.5860656351746325
True,1.0,aligned_nrmse_std,24,random-window-front-v2,oracle-power,40.0,0.1480944447369921
True,1.0,aligned_rmse,24,random-window-front-v2,oracle-power,5.0,2.5646522753870187
True,1.0,aligned_nrmse_std,24,random-window-front-v2,oracle-power,5.0,0.1356908262983813
True,1.0,aligned_rmse,24,random-window-front-v2,self-supervised,1.0,4.698493201559899
True,1.0,aligned_nrmse_std,24,random-window-front-v2,self-supervised,1.0,0.25838771387478543
True,1.0,aligned_rmse,24,random-window-front-v2,self-supervised,10.0,3.2685150061585784
True,1.0,aligned_nrmse_std,24,random-window-front-v2,self-supervised,10.0,0.18275664578765982
True,1.0,aligned_rmse,24,random-window-front-v2,self-supervised,2.0,3.9071409797610874
True,1.0,aligned_nrmse_std,24,random-window-front-v2,self-supervised,2.0,0.21772640506152774
True,1.0,aligned_rmse,24,random-window-front-v2,self-supervised,40.0,3.4062155332468493
True,1.0,aligned_nrmse_std,24,random-window-front-v2,self-supervised,40.0,0.180076830370402
True,1.0,aligned_rmse,24,random-window-front-v2,self-supervised,5.0,3.2454731736640285
True,1.0,aligned_nrmse_std,24,random-window-front-v2,self-supervised,5.0,0.1920546459821757
