duration_s,metric,n_logs,rmse_mm,run,trainer,travel_bin
1.0,local_aligned_rmse,9,1.7568440138629968,random-window-front-v1-shorter,oracle-power,0-30
1.0,fixed_aligned_rmse,9,2.9477038191143103,random-window-front-v1-shorter,oracle-power,0-30
1.0,anchored_rmse,9,1.756844013938178,random-window-front-v1-shorter,oracle-power,0-30
1.0,local_aligned_rmse,11,1.1765222034584608,random-window-front-v1-shorter,oracle-power,30-60
1.0,fixed_aligned_rmse,11,2.722875879577976,random-window-front-v1-shorter,oracle-power,30-60
1.0,anchored_rmse,11,1.176522200098335,random-window-front-v1-shorter,oracle-power,30-60
1.0,local_aligned_rmse,11,1.417227187724297,random-window-front-v1-shorter,oracle-power,60-90
1.0,fixed_aligned_rmse,11,2.4033441703183116,random-window-front-v1-shorter,oracle-power,60-90
1.0,anchored_rmse,11,1.4172271907234477,random-window-front-v1-shorter,oracle-power,60-90
1.0,local_aligned_rmse,3,0.6241017426726739,random-window-front-v1-shorter,oracle-power,90-120
1.0,fixed_aligned_rmse,3,2.2843091611886788,random-window-front-v1-shorter,oracle-power,90-120
1.0,anchored_rmse,3,0.6241017419512513,random-window-front-v1-shorter,oracle-power,90-120
1.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
1.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
1.0,anchored_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
2.0,local_aligned_rmse,11,2.0874610460920966,random-window-front-v1-shorter,oracle-power,0-30
2.0,fixed_aligned_rmse,11,3.0043893039699596,random-window-front-v1-shorter,oracle-power,0-30
2.0,anchored_rmse,11,2.087461049696822,random-window-front-v1-shorter,oracle-power,0-30
2.0,local_aligned_rmse,11,1.747996102310542,random-window-front-v1-shorter,oracle-power,30-60
2.0,fixed_aligned_rmse,11,2.539074875579106,random-window-front-v1-shorter,oracle-power,30-60
2.0,anchored_rmse,11,1.747996102307142,random-window-front-v1-shorter,oracle-power,30-60
2.0,local_aligned_rmse,11,1.5513950786355692,random-window-front-v1-shorter,oracle-power,60-90
2.0,fixed_aligned_rmse,11,2.3934151086370363,random-window-front-v1-shorter,oracle-power,60-90
2.0,anchored_rmse,11,1.5513950789606894,random-window-front-v1-shorter,oracle-power,60-90
2.0,local_aligned_rmse,9,1.1567446052449397,random-window-front-v1-shorter,oracle-power,90-120
2.0,fixed_aligned_rmse,9,2.0691584458243217,random-window-front-v1-shorter,oracle-power,90-120
2.0,anchored_rmse,9,1.156744624970005,random-window-front-v1-shorter,oracle-power,90-120
2.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
2.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
2.0,anchored_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
3.0,local_aligned_rmse,11,2.649877673562077,random-window-front-v1-shorter,oracle-power,0-30
3.0,fixed_aligned_rmse,11,3.194530282715987,random-window-front-v1-shorter,oracle-power,0-30
3.0,anchored_rmse,11,2.649877673517889,random-window-front-v1-shorter,oracle-power,0-30
3.0,local_aligned_rmse,11,1.5937853184654036,random-window-front-v1-shorter,oracle-power,30-60
3.0,fixed_aligned_rmse,11,2.381470092573361,random-window-front-v1-shorter,oracle-power,30-60
3.0,anchored_rmse,11,1.593785478024078,random-window-front-v1-shorter,oracle-power,30-60
3.0,local_aligned_rmse,11,1.5179948401465864,random-window-front-v1-shorter,oracle-power,60-90
3.0,fixed_aligned_rmse,11,2.271298117009415,random-window-front-v1-shorter,oracle-power,60-90
3.0,anchored_rmse,11,1.5179948403709935,random-window-front-v1-shorter,oracle-power,60-90
3.0,local_aligned_rmse,10,1.4974561586479829,random-window-front-v1-shorter,oracle-power,90-120
3.0,fixed_aligned_rmse,10,1.8596346160432606,random-window-front-v1-shorter,oracle-power,90-120
3.0,anchored_rmse,10,1.4974561586555997,random-window-front-v1-shorter,oracle-power,90-120
3.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
3.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
3.0,anchored_rmse,0,nan,random-window-front-v1-shorter,oracle-power,120-150
4.0,local_aligned_rmse,11,2.8264804820207963,random-window-front-v1-shorter,oracle-power,0-30
4.0,fixed_aligned_rmse,11,3.2441060899530463,random-window-front-v1-shorter,oracle-power,0-30
4.0,anchored_rmse,11,2.826480482211784,random-window-front-v1-shorter,oracle-power,0-30
4.0,local_aligned_rmse,11,1.5463018483702622,random-window-front-v1-shorter,oracle-power,30-60
4.0,fixed_aligned_rmse,11,2.3163312185395726,random-window-front-v1-shorter,oracle-power,30-60
4.0,anchored_rmse,11,1.5463018471303653,random-window-front-v1-shorter,oracle-power,30-60
4.0,local_aligned_rmse,11,1.4493942322518056,random-window-front-v1-shorter,oracle-power,60-90
4.0,fixed_aligned_rmse,11,2.240817793898234,random-window-front-v1-shorter,oracle-power,60-90
4.0,anchored_rmse,11,1.4493942337471775,random-window-front-v1-shorter,oracle-power,60-90
4.0,local_aligned_rmse,11,1.722269972579483,random-window-front-v1-shorter,oracle-power,90-120
4.0,fixed_aligned_rmse,11,1.9355473438019124,random-window-front-v1-shorter,oracle-power,90-120
4.0,anchored_rmse,11,1.722269972553932,random-window-front-v1-shorter,oracle-power,90-120
4.0,local_aligned_rmse,1,4.521902561195039,random-window-front-v1-shorter,oracle-power,120-150
4.0,fixed_aligned_rmse,1,4.649937323119502,random-window-front-v1-shorter,oracle-power,120-150
4.0,anchored_rmse,1,4.521902555669667,random-window-front-v1-shorter,oracle-power,120-150
5.0,local_aligned_rmse,11,2.895770185003256,random-window-front-v1-shorter,oracle-power,0-30
5.0,fixed_aligned_rmse,11,3.278662103442537,random-window-front-v1-shorter,oracle-power,0-30
5.0,anchored_rmse,11,2.8957701850332382,random-window-front-v1-shorter,oracle-power,0-30
5.0,local_aligned_rmse,11,1.6973611045556933,random-window-front-v1-shorter,oracle-power,30-60
5.0,fixed_aligned_rmse,11,2.1992950236617133,random-window-front-v1-shorter,oracle-power,30-60
5.0,anchored_rmse,11,1.697361104309167,random-window-front-v1-shorter,oracle-power,30-60
5.0,local_aligned_rmse,11,1.578344109413057,random-window-front-v1-shorter,oracle-power,60-90
5.0,fixed_aligned_rmse,11,2.2222710741874607,random-window-front-v1-shorter,oracle-power,60-90
5.0,anchored_rmse,11,1.5783441093847002,random-window-front-v1-shorter,oracle-power,60-90
5.0,local_aligned_rmse,11,1.5319985810041223,random-window-front-v1-shorter,oracle-power,90-120
5.0,fixed_aligned_rmse,11,1.9229131021920747,random-window-front-v1-shorter,oracle-power,90-120
5.0,anchored_rmse,11,1.5319985812946786,random-window-front-v1-shorter,oracle-power,90-120
5.0,local_aligned_rmse,1,4.082744244472472,random-window-front-v1-shorter,oracle-power,120-150
5.0,fixed_aligned_rmse,1,4.12742883328446,random-window-front-v1-shorter,oracle-power,120-150
5.0,anchored_rmse,1,4.082744244409234,random-window-front-v1-shorter,oracle-power,120-150
1.0,local_aligned_rmse,8,5.578746814263036,random-window-front-v1-shorter,self-supervised,0-30
1.0,fixed_aligned_rmse,8,9.093335649384702,random-window-front-v1-shorter,self-supervised,0-30
1.0,anchored_rmse,8,7.102352979928417,random-window-front-v1-shorter,self-supervised,0-30
1.0,local_aligned_rmse,11,3.9758025655201963,random-window-front-v1-shorter,self-supervised,30-60
1.0,fixed_aligned_rmse,11,3.7925324958236706,random-window-front-v1-shorter,self-supervised,30-60
1.0,anchored_rmse,11,6.506314137311556,random-window-front-v1-shorter,self-supervised,30-60
1.0,local_aligned_rmse,11,3.3204380445172093,random-window-front-v1-shorter,self-supervised,60-90
1.0,fixed_aligned_rmse,11,5.071457095632531,random-window-front-v1-shorter,self-supervised,60-90
1.0,anchored_rmse,11,10.021724928502772,random-window-front-v1-shorter,self-supervised,60-90
1.0,local_aligned_rmse,3,6.135222739807047,random-window-front-v1-shorter,self-supervised,90-120
1.0,fixed_aligned_rmse,3,11.602865587448957,random-window-front-v1-shorter,self-supervised,90-120
1.0,anchored_rmse,3,16.491788141617604,random-window-front-v1-shorter,self-supervised,90-120
1.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
1.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
1.0,anchored_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
2.0,local_aligned_rmse,10,4.8006415925665555,random-window-front-v1-shorter,self-supervised,0-30
2.0,fixed_aligned_rmse,10,5.153014640746829,random-window-front-v1-shorter,self-supervised,0-30
2.0,anchored_rmse,10,8.003410769072419,random-window-front-v1-shorter,self-supervised,0-30
2.0,local_aligned_rmse,11,2.959654172129267,random-window-front-v1-shorter,self-supervised,30-60
2.0,fixed_aligned_rmse,11,3.295735323263786,random-window-front-v1-shorter,self-supervised,30-60
2.0,anchored_rmse,11,8.179000639386917,random-window-front-v1-shorter,self-supervised,30-60
2.0,local_aligned_rmse,11,3.1790902771658485,random-window-front-v1-shorter,self-supervised,60-90
2.0,fixed_aligned_rmse,11,4.695731674538791,random-window-front-v1-shorter,self-supervised,60-90
2.0,anchored_rmse,11,9.69241518292473,random-window-front-v1-shorter,self-supervised,60-90
2.0,local_aligned_rmse,9,2.990423956024156,random-window-front-v1-shorter,self-supervised,90-120
2.0,fixed_aligned_rmse,9,5.212735534194209,random-window-front-v1-shorter,self-supervised,90-120
2.0,anchored_rmse,9,11.568177145403942,random-window-front-v1-shorter,self-supervised,90-120
2.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
2.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
2.0,anchored_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
3.0,local_aligned_rmse,11,5.2858907021274675,random-window-front-v1-shorter,self-supervised,0-30
3.0,fixed_aligned_rmse,11,5.180559780345144,random-window-front-v1-shorter,self-supervised,0-30
3.0,anchored_rmse,11,7.5633601470917515,random-window-front-v1-shorter,self-supervised,0-30
3.0,local_aligned_rmse,11,3.0759851160557545,random-window-front-v1-shorter,self-supervised,30-60
3.0,fixed_aligned_rmse,11,2.827908497123193,random-window-front-v1-shorter,self-supervised,30-60
3.0,anchored_rmse,11,7.945622313353892,random-window-front-v1-shorter,self-supervised,30-60
3.0,local_aligned_rmse,11,3.1884149013376435,random-window-front-v1-shorter,self-supervised,60-90
3.0,fixed_aligned_rmse,11,3.833405419953959,random-window-front-v1-shorter,self-supervised,60-90
3.0,anchored_rmse,11,10.063854660621509,random-window-front-v1-shorter,self-supervised,60-90
3.0,local_aligned_rmse,10,5.01819227870298,random-window-front-v1-shorter,self-supervised,90-120
3.0,fixed_aligned_rmse,10,6.020510279653733,random-window-front-v1-shorter,self-supervised,90-120
3.0,anchored_rmse,10,11.746525145616694,random-window-front-v1-shorter,self-supervised,90-120
3.0,local_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
3.0,fixed_aligned_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
3.0,anchored_rmse,0,nan,random-window-front-v1-shorter,self-supervised,120-150
4.0,local_aligned_rmse,11,5.387356984371941,random-window-front-v1-shorter,self-supervised,0-30
4.0,fixed_aligned_rmse,11,5.431670674607163,random-window-front-v1-shorter,self-supervised,0-30
4.0,anchored_rmse,11,7.3357100999754445,random-window-front-v1-shorter,self-supervised,0-30
4.0,local_aligned_rmse,11,2.841936034171492,random-window-front-v1-shorter,self-supervised,30-60
4.0,fixed_aligned_rmse,11,3.0031617763332803,random-window-front-v1-shorter,self-supervised,30-60
4.0,anchored_rmse,11,6.7131095399333285,random-window-front-v1-shorter,self-supervised,30-60
4.0,local_aligned_rmse,11,3.0419001713081855,random-window-front-v1-shorter,self-supervised,60-90
4.0,fixed_aligned_rmse,11,3.313141488300398,random-window-front-v1-shorter,self-supervised,60-90
4.0,anchored_rmse,11,10.130150958821215,random-window-front-v1-shorter,self-supervised,60-90
4.0,local_aligned_rmse,11,4.710540328763661,random-window-front-v1-shorter,self-supervised,90-120
4.0,fixed_aligned_rmse,11,5.871479398191234,random-window-front-v1-shorter,self-supervised,90-120
4.0,anchored_rmse,11,13.934200782884284,random-window-front-v1-shorter,self-supervised,90-120
4.0,local_aligned_rmse,1,10.214844032482597,random-window-front-v1-shorter,self-supervised,120-150
4.0,fixed_aligned_rmse,1,14.41331403335233,random-window-front-v1-shorter,self-supervised,120-150
4.0,anchored_rmse,1,17.113397644996883,random-window-front-v1-shorter,self-supervised,120-150
5.0,local_aligned_rmse,11,5.345905120731547,random-window-front-v1-shorter,self-supervised,0-30
5.0,fixed_aligned_rmse,11,5.146712656679226,random-window-front-v1-shorter,self-supervised,0-30
5.0,anchored_rmse,11,7.825734421211008,random-window-front-v1-shorter,self-supervised,0-30
5.0,local_aligned_rmse,11,3.0744894865724186,random-window-front-v1-shorter,self-supervised,30-60
5.0,fixed_aligned_rmse,11,3.142987940077033,random-window-front-v1-shorter,self-supervised,30-60
