duration_s,evaluation_scope,metric,n_logs,run,setup,trainer,value
1.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,6.092452318614729
1.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.26525551050046936
1.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,6.092452318614729
1.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,5.543247868756998
1.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.23033012847166712
1.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,5.543247868756998
1.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,10.56758025504677
1.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.4443952835688904
1.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,10.56758025504677
10.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.708724159615157
10.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.24854860769913886
10.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.708724159615157
10.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.4912696451168443
10.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.15558123710453092
10.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.4912696451168443
10.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,8.613171407092057
10.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.30824170800462036
10.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,8.613171407092057
2.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.7028381328477895
2.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.24829233962294447
2.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.7028381328477895
2.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,4.181779544472842
2.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.17236518587173316
2.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,4.181779544472842
2.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,9.368404435203717
2.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.3390482912883379
2.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,9.368404435203717
40.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.62165598885981
40.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.244757800504557
40.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.62165598885981
40.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.2281615792512306
40.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.14385636834888868
40.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.2281615792512306
40.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,8.00277446689115
40.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.28605745325078435
40.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,8.00277446689115
5.0,full_log,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.748272209094436
5.0,full_log,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.25027046574665646
5.0,full_log,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,5.748272209094436
5.0,full_log,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.631048814253789
5.0,full_log,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.15519579955356239
5.0,full_log,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.631048814253789
5.0,full_log,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,9.227055842811895
5.0,full_log,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.3998183038086207
5.0,full_log,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,9.227055842811895
1.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,2.5794356833947556
1.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.12421746065463331
1.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.889373894939654
1.0,training_window,aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,1.1892372208373012
1.0,training_window,aligned_nrmse_std,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,0.09237452885849601
1.0,training_window,fixed_aligned_rmse,11,random-window-front-v2,stumpjumper-pod-v2,oracle-power,3.159882616353141
1.0,training_window,aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,2.5200646249161966
1.0,training_window,aligned_nrmse_std,6,random-window-front-v2,tr11-pod-v2,oracle-power,0.11126620635218748
1.0,training_window,fixed_aligned_rmse,6,random-window-front-v2,tr11-pod-v2,oracle-power,6.49065040774712
10.0,training_window,aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.4183737432266046
10.0,training_window,aligned_nrmse_std,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,0.1653381109120579
10.0,training_window,fixed_aligned_rmse,7,random-window-front-v2,stumpjumper-pod-v1,oracle-power,3.7984058994181877
