trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
self-supervised,0.29591190320494015,8.21319044278346,17.310271611689803,1,diagonal,log-0078-valid
self-supervised,0.33588640503235667,8.930866702360904,14.353421469423623,5,transfer,log-0078-valid
self-supervised,0.24972548864210875,7.368506285706691,13.806247781110168,1,diagonal,log-0079
self-supervised,0.34585844829716905,9.196012858364556,13.627781903090687,5,transfer,log-0079
self-supervised,0.36781105689962573,10.765833283632965,16.34950984975852,1,diagonal,log-0080-valid
self-supervised,0.4384728916177131,11.658533626150495,15.005760785625862,5,transfer,log-0080-valid
self-supervised,0.5361639166700389,11.047797936310102,17.21906843042799,1,diagonal,log-0081
self-supervised,0.2795346743457617,8.012347950039011,14.792119675864509,5,transfer,log-0081
self-supervised,0.37186542335626327,9.887511008050074,11.421965761332395,1,diagonal,log-0098
self-supervised,0.31560604383516244,9.237792033434038,15.807984008549582,5,transfer,log-0098
self-supervised,0.6569891190649726,12.90407873822007,15.592032656640267,1,diagonal,log-0099
self-supervised,0.29329442974167397,8.426157094527706,14.813793103236403,5,transfer,log-0099
oracle-power,0.24349797850844426,6.758414407336552,6.758414407336552,1,diagonal,log-0078-valid
oracle-power,0.3301588978322356,8.778578301953136,11.174050797831512,5,transfer,log-0078-valid
oracle-power,0.21434742416686356,6.324626095985343,6.324626095985343,1,diagonal,log-0079
oracle-power,0.33383741673438655,8.87638625572864,9.645792191213861,5,transfer,log-0079
oracle-power,0.2546797237014204,7.454478038813925,7.454478038813925,1,diagonal,log-0080-valid
oracle-power,0.3016542373520539,8.020669320432926,9.427751985991756,5,transfer,log-0080-valid
oracle-power,0.4134177686546224,8.518581406490405,8.518581406490407,1,diagonal,log-0081
oracle-power,0.3265225989684076,8.990893085475163,9.792082376271372,5,transfer,log-0081
oracle-power,0.29809631420696553,7.926067881166673,7.926067881166673,1,diagonal,log-0098
oracle-power,0.2589029938980126,7.578093199357223,8.63309001109957,5,transfer,log-0098
oracle-power,0.4484921518398629,8.808940472335285,8.808940472335369,1,diagonal,log-0099
oracle-power,0.31797245316088046,8.732063789512333,9.422406012097778,5,transfer,log-0099
oracle-binned-median,0.23623097727945705,6.556714967756127,6.605528063867232,1,diagonal,log-0078-valid
oracle-binned-median,0.29690542108217854,8.486340818971167,11.238476547717319,5,transfer,log-0078-valid
oracle-binned-median,0.20961154811692115,6.184887326698802,6.271795684016112,1,diagonal,log-0079
oracle-binned-median,0.2976725992194854,7.914801744710174,8.845733663554569,5,transfer,log-0079
oracle-binned-median,0.24524081409236298,7.178201060935785,7.234116872484139,1,diagonal,log-0080-valid
oracle-binned-median,0.28988967624297046,7.70786199777013,9.220987173487146,5,transfer,log-0080-valid
oracle-binned-median,0.4091798103850639,8.431257166330077,8.452284935536326,1,diagonal,log-0081
oracle-binned-median,0.3137167233476774,8.786499818778257,9.528678886185302,5,transfer,log-0081
oracle-binned-median,0.2885049862335721,7.671044544867158,7.7562773478570515,1,diagonal,log-0098
oracle-binned-median,0.2479194625137438,7.256605126798118,8.730445197935152,5,transfer,log-0098
oracle-binned-median,0.4482893900241636,8.804957979537518,8.80736037598239,1,diagonal,log-0099
oracle-binned-median,0.34387511872780613,9.180271033471046,10.261077097121513,5,transfer,log-0099
