trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
self-supervised,0.199276064065692,4.09865143914461,16.463687698580802,1,diagonal,log-0046
self-supervised,0.2247946608829371,5.049149775110754,5.94590666534658,10,transfer,log-0046
self-supervised,0.17825073819597276,3.9999771377646782,7.548033568417931,1,diagonal,log-0048
self-supervised,0.20845296443611394,4.647692367780165,6.989180567185636,10,transfer,log-0048
self-supervised,0.16386576961992452,3.9712173540203985,7.510551343870971,1,diagonal,log-0049
self-supervised,0.1873665362071165,4.157567533704741,7.780854561322885,10,transfer,log-0049
self-supervised,0.273171437068624,4.900868212304823,8.887227927729986,1,diagonal,log-0054
self-supervised,0.20712691243219164,4.991156842228477,8.143925825309019,10,transfer,log-0054
self-supervised,0.21619307961967635,5.124351227523006,8.163238973211618,1,diagonal,log-0055
self-supervised,0.20053236665550112,4.798038760313265,7.4741563786868355,10,transfer,log-0055
self-supervised,0.22816580036330264,5.139366746484403,9.496372910210189,1,diagonal,log-0056
self-supervised,0.2206453392782462,5.065972074158372,9.359911278471309,10,transfer,log-0056
self-supervised,0.18343677850494838,4.291790750760939,4.773309920031776,1,diagonal,log-0058
self-supervised,0.23156215391357365,4.922824938065466,9.856048618682852,10,transfer,log-0058
self-supervised,0.1355968904581543,3.7226660669481557,4.342498928431124,1,diagonal,log-0063
self-supervised,0.20839763946047718,4.665874268110808,7.330607275296355,10,transfer,log-0063
self-supervised,0.2047059074212776,4.6275683972618324,10.563183858279368,1,diagonal,log-0071_183
self-supervised,0.1776792889649815,3.734863603170438,7.165148281704202,10,transfer,log-0071_183
self-supervised,0.2134128200037842,4.577433164243044,4.616855271726011,1,diagonal,log-0072_184
self-supervised,0.19704567573091736,4.250529937586018,8.825646507096856,10,transfer,log-0072_184
self-supervised,0.34905356380177327,6.760503902836898,12.459123217514756,1,diagonal,log-0073_185
self-supervised,0.28927871890446477,6.516042014328611,11.676483394739698,10,transfer,log-0073_185
oracle-power,0.13758809520454646,2.8298714502579694,2.8298714502579703,1,diagonal,log-0046
oracle-power,0.1477855808452133,3.3512231215210257,3.5384704193190863,10,transfer,log-0046
oracle-power,0.1378239795352667,3.0927937396293443,3.0927937396293443,1,diagonal,log-0048
oracle-power,0.1504449926319682,3.418666657131652,3.919205850977124,10,transfer,log-0048
oracle-power,0.13765796941826763,3.336082443215547,3.336082443215547,1,diagonal,log-0049
oracle-power,0.15067533286156187,3.4437747987413285,3.847009261280366,10,transfer,log-0049
oracle-power,0.1634290104303589,2.932019726445164,2.9320197288284486,1,diagonal,log-0054
