trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
self-supervised,0.17679063912678988,3.5775604167929833,5.474156226896371,1,diagonal,log-0046
self-supervised,0.6339180234237752,15.678506258778919,24.324379680491045,37,transfer,log-0046
self-supervised,0.1715044167885529,3.814183491079863,3.8691826473532474,1,diagonal,log-0048
self-supervised,0.6402904299298572,15.772686833266432,24.607804456514135,37,transfer,log-0048
self-supervised,0.15125468428724687,3.3182859338948463,7.286896444905687,1,diagonal,log-0049
self-supervised,0.6380029920148866,15.78341584813891,24.589885063430128,37,transfer,log-0049
self-supervised,0.21975357652925065,3.8513822463077063,4.130485000371445,1,diagonal,log-0054
self-supervised,0.6239573029799925,15.441671436221561,24.050701372263458,37,transfer,log-0054
self-supervised,0.18566549762275739,4.301312579855941,4.458469485780146,1,diagonal,log-0055
self-supervised,0.6217566889301391,15.391009300115778,24.016090973195944,37,transfer,log-0055
self-supervised,0.17064004257270543,3.7818455459353584,4.625381742210358,1,diagonal,log-0056
self-supervised,0.6379192316198222,15.61113263060409,24.386646113314235,37,transfer,log-0056
self-supervised,0.17484203993523886,4.03226422442719,4.03845233616428,1,diagonal,log-0058
self-supervised,0.626546982827638,15.38257909058485,23.923656024713132,37,transfer,log-0058
self-supervised,0.14628449521534567,3.808230288280574,6.130164985683198,1,diagonal,log-0063
self-supervised,0.639213169687907,15.792022581134601,24.542435949647743,37,transfer,log-0063
self-supervised,0.13846103702638238,2.9624096216118074,6.584252638236187,1,diagonal,log-0071_183
self-supervised,0.6359124173528546,15.691177969791868,24.563595553068566,37,transfer,log-0071_183
self-supervised,0.19923295507071298,4.15304997503975,4.446809177460013,1,diagonal,log-0072_184
self-supervised,0.6389250610081887,15.761661136383069,24.581476313291287,37,transfer,log-0072_184
self-supervised,0.21349566512059934,4.11912539109205,4.808917323930082,1,diagonal,log-0073_185
self-supervised,0.6219894485266447,15.460002098290156,23.895431053104158,37,transfer,log-0073_185
self-supervised,0.30693593390119245,8.715145070913326,9.306647906532156,1,diagonal,log-0078-valid
self-supervised,0.47746427896964483,11.270528584311307,18.296060012767978,37,transfer,log-0078-valid
self-supervised,0.2599925326000706,6.6608885330195,7.791241708897379,1,diagonal,log-0079
self-supervised,0.44351675750755276,7.973991637433176,12.84897331365071,37,transfer,log-0079
self-supervised,0.3735513764774252,10.802557944090216,13.668476093827989,1,diagonal,log-0080-valid
self-supervised,0.481180389229033,11.704934888233229,18.540756445807542,37,transfer,log-0080-valid
self-supervised,0.6306124014740979,13.19527537157912,13.418815023004555,1,diagonal,log-0081
self-supervised,0.4307653302362531,10.715530050065952,16.6696339768695,37,transfer,log-0081
self-supervised,0.37703291156854485,9.994092810050166,9.997206888897017,1,diagonal,log-0098
self-supervised,0.43807128052659644,10.533912387761228,17.79171344075932,37,transfer,log-0098
self-supervised,0.6461437422582638,12.86091818097745,12.930521628652436,1,diagonal,log-0099
self-supervised,0.3719495689297817,9.218392160356936,14.831216056929065,37,transfer,log-0099
self-supervised,0.2687033735082091,7.087533333784105,14.018930140075446,1,diagonal,log-0113
self-supervised,0.34004506350759695,8.163141628846432,13.97757522759343,37,transfer,log-0113
self-supervised,0.30379388497808435,7.165003647663534,8.175113198995643,1,diagonal,log-0115
self-supervised,0.4411646619049131,9.882816804658432,16.62772512903283,37,transfer,log-0115
self-supervised,0.2423301968060937,7.446743912850886,10.829931266823966,1,diagonal,log-0116
self-supervised,0.40173065968216715,9.05091695900076,13.316169476781337,37,transfer,log-0116
self-supervised,0.20129156524751948,5.202057071266257,12.867618777623298,1,diagonal,log-0117
self-supervised,0.41667969001106386,9.282610601605176,13.56846377191238,37,transfer,log-0117
self-supervised,0.18146721464957422,6.598895174547599,16.113931331768384,1,diagonal,log-0118
self-supervised,0.32350612873616913,7.673674210386837,12.73223716522431,37,transfer,log-0118
self-supervised,0.18905583187598526,6.712174564276566,7.822560767545018,1,diagonal,log-0119
self-supervised,0.3476084080905423,8.280002875836448,14.597677836415286,37,transfer,log-0119
self-supervised,0.21591896106395617,7.316693268206765,10.18640570286803,1,diagonal,log-0120
self-supervised,0.40025203034844137,7.926084194929535,11.94010283971846,37,transfer,log-0120
self-supervised,0.328405491196944,10.546651573369779,11.883190817125364,1,diagonal,log-0122
self-supervised,0.42532066562025367,10.298712220002153,15.380979104930033,37,transfer,log-0122
self-supervised,0.24623513031720182,8.05369051134562,13.162352319858124,1,diagonal,log-0125
self-supervised,0.3221417527363981,7.42658960286339,11.829324436392337,37,transfer,log-0125
self-supervised,0.19854681793962173,7.201568114674277,54.05836520578254,1,diagonal,log-0126
self-supervised,0.31193486711349727,7.629209674344696,13.746266752236586,37,transfer,log-0126
self-supervised,0.2208597336442956,7.757252398663157,13.020726126974752,1,diagonal,log-0127
self-supervised,0.3650531977888823,8.549867171118605,15.28788840631081,37,transfer,log-0127
self-supervised,0.28038423691944275,8.867341451986306,11.451963388823284,1,diagonal,log-0129
self-supervised,0.37594056037232954,9.328701273283587,15.376636131015658,37,transfer,log-0129
self-supervised,0.3317628184394406,10.987670709740518,18.311053278326668,1,diagonal,log-0132
self-supervised,0.4518138301339417,10.910172408792171,15.542338267388233,37,transfer,log-0132
self-supervised,0.22452915738376183,6.635189748133081,10.607949921438458,1,diagonal,log-0133
self-supervised,0.3284419372274398,7.806841326135834,13.325715071321811,37,transfer,log-0133
self-supervised,0.49321662621265555,8.867546008779039,14.488743006468512,1,diagonal,log-0145-filtered-c01
self-supervised,0.38447156821066913,9.350600735127722,14.210015712374949,37,transfer,log-0145-filtered-c01
self-supervised,0.3597067465606791,5.886575244298626,14.927999966233191,1,diagonal,log-0147-filtered-c01
self-supervised,0.39792250902301907,10.986743452288247,15.415596516963342,37,transfer,log-0147-filtered-c01
self-supervised,0.7553508873111844,13.186141104921704,27.85195183894544,1,diagonal,log-0147-filtered-c02
self-supervised,0.73109966754443,19.996005242592627,39.20103449860074,37,transfer,log-0147-filtered-c02
self-supervised,0.4883082386344521,9.622179092328158,12.500756770264516,1,diagonal,log-0151-filtered-c01
self-supervised,0.37172707644043423,8.380333774069433,13.5540954608127,37,transfer,log-0151-filtered-c01
self-supervised,0.2597814421217546,4.755539532064008,8.716967629466508,1,diagonal,log-0152-filtered-c01
self-supervised,0.3465866715388861,10.903089707203717,14.820500056340787,37,transfer,log-0152-filtered-c01
self-supervised,0.4155219529301782,5.887135821611689,10.632842875873523,1,diagonal,log-0152-filtered-c02
self-supervised,0.38162190027015097,11.690866012649185,16.65588210795795,37,transfer,log-0152-filtered-c02
self-supervised,0.18827910951343943,5.021865794286215,13.398833742613762,1,diagonal,log-0155-filtered-c01
self-supervised,0.37830678856652455,12.363108671571952,16.799137810959497,37,transfer,log-0155-filtered-c01
oracle-power,0.12936022253032828,2.6177517877523475,2.6177517877523475,1,diagonal,log-0046
oracle-power,0.6097055672628449,14.99942698621967,20.033658815197562,37,transfer,log-0046
oracle-power,0.14232432924766694,3.165231060286599,3.165231060286599,1,diagonal,log-0048
oracle-power,0.6274338517942428,15.573705355713507,21.2403339204348,37,transfer,log-0048
oracle-power,0.11826476714134214,2.594539898911108,2.5945398989111075,1,diagonal,log-0049
oracle-power,0.6171868924892477,15.159441884844519,20.934449042541928,37,transfer,log-0049
oracle-power,0.15638548441583158,2.7407985242924777,2.7407985242924777,1,diagonal,log-0054
oracle-power,0.6175553233997081,15.150751306604231,19.34099381260611,37,transfer,log-0054
oracle-power,0.1366264812400539,3.1652256882609042,3.1652256882609042,1,diagonal,log-0055
oracle-power,0.6025442849603679,14.963081328880117,19.358256621388165,37,transfer,log-0055
oracle-power,0.15193497586607943,3.36729060241595,3.36729060241595,1,diagonal,log-0056
oracle-power,0.632598786820194,15.678907963457918,20.186032580834905,37,transfer,log-0056
oracle-power,0.14294884145038883,3.296732865375042,3.2967328653750414,1,diagonal,log-0058
oracle-power,0.6026697773634067,14.909816899634931,20.660601756111152,37,transfer,log-0058
oracle-power,0.11898651476939942,3.097580839136233,3.097580839136233,1,diagonal,log-0063
oracle-power,0.6164950569866877,15.355557430982994,20.99135006008109,37,transfer,log-0063
oracle-power,0.11666953988915366,2.4961749163470177,2.4961749163470177,1,diagonal,log-0071_183
oracle-power,0.6237644432057878,15.270175383076873,19.54811963817015,37,transfer,log-0071_183
oracle-power,0.12521055296548586,2.6100385033362614,2.610038503336262,1,diagonal,log-0072_184
oracle-power,0.6213481004416066,15.222150868707683,19.606999911934015,37,transfer,log-0072_184
oracle-power,0.12049847666486012,2.324863760291157,2.324863760291157,1,diagonal,log-0073_185
oracle-power,0.6247170562402113,15.292719275974862,19.223447794659204,37,transfer,log-0073_185
oracle-power,0.24480915178131188,6.9511159718047075,6.951115971804706,1,diagonal,log-0078-valid
oracle-power,0.47148709470415207,9.865651284726011,24.570489679743876,37,transfer,log-0078-valid
oracle-power,0.25440366260981606,6.517704266693333,6.517704266693334,1,diagonal,log-0079
oracle-power,0.49571561793934393,10.626094725959636,26.223816299163,37,transfer,log-0079
oracle-power,0.25181177773509794,7.282027296055627,7.282027296055627,1,diagonal,log-0080-valid
oracle-power,0.44673188251212986,8.12806511836378,24.537167725062602,37,transfer,log-0080-valid
oracle-power,0.40692268665433234,8.514670648397114,8.514670648397116,1,diagonal,log-0081
oracle-power,0.4453677301017987,10.126376909432574,29.221223978479006,37,transfer,log-0081
oracle-power,0.30243080302285485,8.016598607941193,8.016598607941193,1,diagonal,log-0098
oracle-power,0.514974460651495,10.047819659358323,28.245538550275864,37,transfer,log-0098
oracle-power,0.44453627110770066,8.848100255852675,8.84810025585278,1,diagonal,log-0099
oracle-power,0.4077140602400931,10.614125531540324,31.435054296838754,37,transfer,log-0099
oracle-power,0.19179389753587703,5.05890798561326,5.05890798561326,1,diagonal,log-0113
oracle-power,0.3368867578408368,7.935276723798629,19.40500490302341,37,transfer,log-0113
oracle-power,0.1967108961204291,4.639442588976777,4.639442588976778,1,diagonal,log-0115
oracle-power,0.38780228377896586,8.404720582521477,24.279306292565504,37,transfer,log-0115
oracle-power,0.17574863918402764,5.400709966338683,5.400709966338682,1,diagonal,log-0116
oracle-power,0.3722670357337762,8.048844312548352,23.3031435333539,37,transfer,log-0116
oracle-power,0.1402800579400749,3.6253126973674794,3.6253126973674794,1,diagonal,log-0117
oracle-power,0.38201954272479416,8.056470072863942,24.942839323851675,37,transfer,log-0117
oracle-power,0.1381764083705468,5.0246631943598805,5.0246631943598805,1,diagonal,log-0118
oracle-power,0.36923251572226234,8.23796353839142,25.593958391005206,37,transfer,log-0118
oracle-power,0.14528497585775302,5.158148838083087,5.158148838083087,1,diagonal,log-0119
oracle-power,0.36671904849272086,7.769709086868965,24.929052311090373,37,transfer,log-0119
oracle-power,0.16688443700895716,5.655094998675149,5.655094998675149,1,diagonal,log-0120
oracle-power,0.36687534591052723,7.904858994726378,24.407884582197298,37,transfer,log-0120
oracle-power,0.18143845266870764,5.82684575502619,5.82684575502619,1,diagonal,log-0122
oracle-power,0.3515815063528171,7.8511649080085055,23.25468684497333,37,transfer,log-0122
oracle-power,0.2025272266833921,6.624122243353313,6.624122243353313,1,diagonal,log-0125
oracle-power,0.3255620292468332,7.791210050583801,17.80180309986705,37,transfer,log-0125
oracle-power,0.15944172752635347,5.783172316826297,5.783172316826297,1,diagonal,log-0126
oracle-power,0.3443656187889853,7.588092889264331,21.31349227053056,37,transfer,log-0126
oracle-power,0.15055242083216286,5.287849932417975,5.287849932417976,1,diagonal,log-0127
oracle-power,0.3638253382821395,7.7323435910295855,23.794734403954166,37,transfer,log-0127
oracle-power,0.17312351772246834,5.47514853859346,5.47514853859346,1,diagonal,log-0129
oracle-power,0.3430118216229711,7.641215129661885,22.029310338463468,37,transfer,log-0129
oracle-power,0.19002969102895723,6.293603604892966,6.293603604892966,1,diagonal,log-0132
oracle-power,0.33749159907632975,7.489525739129664,21.904199973719496,37,transfer,log-0132
oracle-power,0.18183911415104267,5.3736318261881895,5.3736318261881895,1,diagonal,log-0133
oracle-power,0.3469135469102964,7.672266182702831,21.344442646753922,37,transfer,log-0133
oracle-power,0.19174900124176425,3.447456959643637,3.447456959643637,1,diagonal,log-0145-filtered-c01
oracle-power,0.44189352343977706,10.467538996194865,34.45634410518807,37,transfer,log-0145-filtered-c01
oracle-power,0.2911640745252831,4.764879306595166,4.764879306595166,1,diagonal,log-0147-filtered-c01
oracle-power,0.3612565156234287,11.737860129374285,24.530411429908376,37,transfer,log-0147-filtered-c01
oracle-power,0.2280917222300858,3.9817913564605996,3.9817913564605996,1,diagonal,log-0147-filtered-c02
oracle-power,0.3371426590733239,11.836211291118007,24.201981921702817,37,transfer,log-0147-filtered-c02
oracle-power,0.25018497171925047,4.929928298616744,4.929928298616745,1,diagonal,log-0151-filtered-c01
oracle-power,0.3478981564635483,11.779417035886032,27.387501805841083,37,transfer,log-0151-filtered-c01
oracle-power,0.22748429849159452,4.164310450989038,4.164310450989038,1,diagonal,log-0152-filtered-c01
