trial_id,pipeline,trainer,calibration_id,eval_cache_fingerprint,eval_log,experiment,pair_type,time_basis,train_cache_fingerprint,train_log
17d054e6d103617f,front,self-supervised,70405ea5e3641527,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046,cross-setup-front-pod-v2-full-v3,diagonal,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
a4e288a9fd47e244,front,self-supervised,70405ea5e3641527,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
b94a867300bba489,front,self-supervised,70405ea5e3641527,54d51b0ce544de70d1ca93481daa9086c50a1e12f2bbe8d3e970e49c2f54d8b6,log-0049,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
f89c7b849945e0dc,front,self-supervised,70405ea5e3641527,87b9e73d3f46981767377feef0c825e08495b4cf3e8edce65068328b8069ec18,log-0054,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
ed269b0b21bb98b2,front,self-supervised,70405ea5e3641527,ef0ed26e47f465e8de9a39aca81d192b6961071e8c2fbc422f978552157291b0,log-0055,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
5544945c74d1c4c7,front,self-supervised,70405ea5e3641527,5440d01a57adbce8cd79976a1b1a3c771ca056bc7df12b39ae0f2519bb2b6547,log-0056,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
83b257d18057aa71,front,self-supervised,70405ea5e3641527,a66ccd1e1fbde3ce67832e6c311f18e78c52440b46f0f9f955cd9e68db49e8c1,log-0058,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
8e2d44b032347cf7,front,self-supervised,70405ea5e3641527,13e132769a158fec2a24b6b7adcccdf572eed581faa5faf2c253689d8bebe7b6,log-0063,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
0eda252678059e3a,front,self-supervised,70405ea5e3641527,9a295abd5f52576f20a79c95126c09c8726fe7114dd61e0a1a839fa8c3680948,log-0071_183,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
97806d7c2f0b8740,front,self-supervised,70405ea5e3641527,3f4abc52f7c16d0588ac89ea4cd70c86469b8e407168cbd8cdcabdb1f6b3821d,log-0072_184,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
83710245a2050d5a,front,self-supervised,70405ea5e3641527,147d88fcc2e86e52808817f9784ccbcaa0b65d8e4be57e17fd71a5229344ea65,log-0073_185,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
be7c40a130965a8f,front,self-supervised,70405ea5e3641527,ff4f20936953b72a1157f799c6401e184ea6bfb4165064030420c01e1f10532b,log-0078-valid,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
0c680e4d1ad51ab4,front,self-supervised,70405ea5e3641527,63494eb07147b883b00c5d9b38d2a547726c7e865df0ca31f1219b8e5f4907e6,log-0079,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
897519137fec6dac,front,self-supervised,70405ea5e3641527,9987adee9aaa38c7b36a2fec76521d332ed4e3c98f12a4c72edc694f4fff4595,log-0080-valid,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
aa71c1000187a292,front,self-supervised,70405ea5e3641527,18081f5d3368e9694839782c7e36832c63ef570e85daa58a5be1f8fa21ae28c4,log-0081,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
d1a97995eee42bef,front,self-supervised,70405ea5e3641527,0c1a3c3f14731106e2f782b8c77c56d66751cc264d665a35d67096c8986d6364,log-0098,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
edeb0ebbddcec03a,front,self-supervised,70405ea5e3641527,195a581e652f91d7b6c25519aafc0edbfee2b6dd03a51268fe2537975287f5a6,log-0099,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
bccd7b30d985b5c2,front,self-supervised,70405ea5e3641527,ba7ae160537ae1205befad6da71d1d9fc354bdaad891e8718010ec0d0a3185d5,log-0113,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
32d75bbefc496960,front,self-supervised,70405ea5e3641527,00ae7147129d21b403e7b1dea38ddb7354d11f0c900dc809380261c0f3ad1184,log-0115,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
de2ffda770cc01ed,front,self-supervised,70405ea5e3641527,f51450dde4e235f752ca39f6a2655889b41a0d04f306bf6b401d1e69d11630ce,log-0116,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
b885b57150069335,front,self-supervised,70405ea5e3641527,bb566fb9d363ca9e6fcf54d1248a7fed8748e7c7a94097668739ba726f748801,log-0117,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
7ce3ec438c52e95a,front,self-supervised,70405ea5e3641527,305f689c22a73c248815b418b5fd5771036f50f45e081bcf91d9b788d82c364a,log-0118,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
ad0ccfdf1c42b81b,front,self-supervised,70405ea5e3641527,9ea72d3e63115b2bbf05a8d1f5620cc24cd16754ff0b8dcbd2bf6d01af7d4915,log-0119,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
81e175368e2147aa,front,self-supervised,70405ea5e3641527,6c0411132d8f5592b5b67d972fa5d2a82e88d725910fba54fa833298ace8f024,log-0120,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
93edb3029bc8b2c7,front,self-supervised,70405ea5e3641527,e8c1d4881839b948a0086fb1730142bdcbc3f19078d7c8c430eeaad62f88f812,log-0122,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
2c57e96ec6cae616,front,self-supervised,70405ea5e3641527,afa37b2d922b87da9932052e31e71d94ee6e90c67312dd7d0dcc03d049dbdfce,log-0125,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
71f787c640ae950f,front,self-supervised,70405ea5e3641527,eabd4273c2d8848d9d06000875557bb065815396099dac0cfc45d7813091b9e5,log-0126,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
66e6c33ca6688167,front,self-supervised,70405ea5e3641527,3a2389f7f7e35b17c6ddc68fab803cdc9d76d8fcaf113843f7a930012a544b54,log-0127,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
9c576832636d0285,front,self-supervised,70405ea5e3641527,30c6cbe5e0fbe7aee06238266fc45182cafa6d0d47c7e18775dff328ac62246e,log-0129,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
1c6cb31cebe8326c,front,self-supervised,70405ea5e3641527,3c944b65997ab555f20a16a4d5cc8c4f56fb072657e338d3517478988b0a3d12,log-0132,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
c92a12891a8e7778,front,self-supervised,70405ea5e3641527,1938b294b1ab1a39973dfb297c51a933177bfb7f37f32070fc9e51f721b3a1af,log-0133,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
dd2089c87ebecb18,front,self-supervised,70405ea5e3641527,67b363d487010e0ca8120d91d439c708b65cb2be1d089fa068e22f8ee5dfb769,log-0145-filtered-c01,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
00d186ecf9bbbcbb,front,self-supervised,70405ea5e3641527,a39ec7ca7a34a1153ecf1b7aac8cbd55dff972140f7f8f6909587d6bd568392b,log-0147-filtered-c01,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
4309b64f7f5bce2d,front,self-supervised,70405ea5e3641527,5fff48a58b538859304a8d13a951ffedb7dc4c9e802f31abe18ad3cc94656f18,log-0147-filtered-c02,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
a030e80822cda8cd,front,self-supervised,70405ea5e3641527,2acc2afac6898b2e5cf5ca2116ffff4ae8ec9e9a1199d41a0b51b9eb7ad72f65,log-0151-filtered-c01,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
209009b56bb7fa27,front,self-supervised,70405ea5e3641527,4df64d5732b3803886a2b249267afd3e62a0ed6bb5c998c683ccc35664d2c492,log-0152-filtered-c01,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
0227b5a4c7153def,front,self-supervised,70405ea5e3641527,83ece930b8f75c8e07013e8b8b7c7d1310d3304fbd1dc0512f954b2ff1d57a51,log-0152-filtered-c02,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
f675a1e87eef046f,front,self-supervised,70405ea5e3641527,277ff3d604a6359e704135159b5ca3500c2e82486abce9fd83e9a383548c1eb6,log-0155-filtered-c01,cross-setup-front-pod-v2-full-v3,transfer,active,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046
6bfd79aa9a0a9a4f,front,self-supervised,c0ae0b608f4725c6,ad94789fe8a3c3de28fa1bc5eafde60ddefbf0e0d0991706bba157a67a0a3996,log-0046,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
b23586d876a9f711,front,self-supervised,c0ae0b608f4725c6,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048,cross-setup-front-pod-v2-full-v3,diagonal,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
4a56d1741dab5308,front,self-supervised,c0ae0b608f4725c6,54d51b0ce544de70d1ca93481daa9086c50a1e12f2bbe8d3e970e49c2f54d8b6,log-0049,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
e65eae13a4e7bb46,front,self-supervised,c0ae0b608f4725c6,87b9e73d3f46981767377feef0c825e08495b4cf3e8edce65068328b8069ec18,log-0054,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
930b882927ca2404,front,self-supervised,c0ae0b608f4725c6,ef0ed26e47f465e8de9a39aca81d192b6961071e8c2fbc422f978552157291b0,log-0055,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
c9441e5756c8bd7b,front,self-supervised,c0ae0b608f4725c6,5440d01a57adbce8cd79976a1b1a3c771ca056bc7df12b39ae0f2519bb2b6547,log-0056,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
c1022a35a8b3f71c,front,self-supervised,c0ae0b608f4725c6,a66ccd1e1fbde3ce67832e6c311f18e78c52440b46f0f9f955cd9e68db49e8c1,log-0058,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
4eb50811bf8accbb,front,self-supervised,c0ae0b608f4725c6,13e132769a158fec2a24b6b7adcccdf572eed581faa5faf2c253689d8bebe7b6,log-0063,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
3d6ea06834f92181,front,self-supervised,c0ae0b608f4725c6,9a295abd5f52576f20a79c95126c09c8726fe7114dd61e0a1a839fa8c3680948,log-0071_183,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
5dad2cd85123ac3f,front,self-supervised,c0ae0b608f4725c6,3f4abc52f7c16d0588ac89ea4cd70c86469b8e407168cbd8cdcabdb1f6b3821d,log-0072_184,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
109aaac7641c4e0b,front,self-supervised,c0ae0b608f4725c6,147d88fcc2e86e52808817f9784ccbcaa0b65d8e4be57e17fd71a5229344ea65,log-0073_185,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
8b283acdae63447f,front,self-supervised,c0ae0b608f4725c6,ff4f20936953b72a1157f799c6401e184ea6bfb4165064030420c01e1f10532b,log-0078-valid,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
9076fc3124ec712d,front,self-supervised,c0ae0b608f4725c6,63494eb07147b883b00c5d9b38d2a547726c7e865df0ca31f1219b8e5f4907e6,log-0079,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
db2141094bb0b0c5,front,self-supervised,c0ae0b608f4725c6,9987adee9aaa38c7b36a2fec76521d332ed4e3c98f12a4c72edc694f4fff4595,log-0080-valid,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
162bba9f9d3ee528,front,self-supervised,c0ae0b608f4725c6,18081f5d3368e9694839782c7e36832c63ef570e85daa58a5be1f8fa21ae28c4,log-0081,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
663d56f352302656,front,self-supervised,c0ae0b608f4725c6,0c1a3c3f14731106e2f782b8c77c56d66751cc264d665a35d67096c8986d6364,log-0098,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
ac93f5e88a23e71a,front,self-supervised,c0ae0b608f4725c6,195a581e652f91d7b6c25519aafc0edbfee2b6dd03a51268fe2537975287f5a6,log-0099,cross-setup-front-pod-v2-full-v3,transfer,active,51458fa040985f567e70a6d0e4a99d7889f5940d88185a8239294ef9b82cf2fc,log-0048
