trainer,setup,logs,independent_units,aligned_rmse_median,aligned_nrmse_std_median,anchored_rmse_median
self-supervised,stumpjumper_pod_v2,11,11,4.0688219028145,0.1912177262090555,5.102993139137215
self-supervised,tr11_pod_v2,6,6,11.3516168356729,0.388692536236906,11.883367232280614
self-supervised,tr11_2025_pod_v2,14,14,7.567898574867897,0.229990053720943,12.393377417557154
self-supervised,slayer_pod_v2,7,5,6.892934444646679,0.37830759517359924,9.365837826220528
oracle-power,stumpjumper_pod_v2,11,11,3.0483318956181944,0.1349277106864069,3.048331895618195
oracle-power,tr11_pod_v2,6,6,7.865262379225131,0.273769786082507,7.865262379225131
oracle-power,tr11_2025_pod_v2,14,14,5.28357021630603,0.16715118135131746,5.28357021630603
oracle-power,slayer_pod_v2,7,5,4.1243468228464035,0.2558410229634408,4.1243468228464035
oracle-binned-median,stumpjumper_pod_v2,11,11,2.906273875298298,0.1320479828599427,2.918279960820689
oracle-binned-median,tr11_pod_v2,6,6,7.5689618249812884,0.26432658957710103,7.635692567523645
oracle-binned-median,tr11_2025_pod_v2,14,14,4.932451034007295,0.15890958446039416,4.948647492586812
oracle-binned-median,slayer_pod_v2,7,5,3.6686610219988625,0.2130756836067695,3.684281528853626
