trainer,setup,logs,independent_units,aligned_rmse_median,aligned_nrmse_std_median,anchored_rmse_median
self-supervised,stumpjumper_pod_v2,5,5,3.8513822463077063,0.1748420399352388,4.446809177460013
self-supervised,tr11_pod_v2,5,5,10.802557944090216,0.3770329115685448,12.930521628652436
self-supervised,tr11_2025_pod_v2,5,5,7.446743912850886,0.2423301968060937,12.867618777623298
self-supervised,slayer_pod_v2,5,5,8.867546008779039,0.4883082386344521,13.398833742613762
oracle-power,stumpjumper_pod_v2,5,5,2.7407985242924777,0.1429488414503888,2.7407985242924777
oracle-power,tr11_pod_v2,5,5,8.016598607941193,0.3024308030228548,8.016598607941193
oracle-power,tr11_2025_pod_v2,5,5,5.47514853859346,0.1731235177224683,5.47514853859346
oracle-power,slayer_pod_v2,5,5,3.884357527502604,0.2280917222300858,3.884357527502604
oracle-binned-median,stumpjumper_pod_v2,5,5,2.7093362400261785,0.1343038787166396,2.711623701420622
oracle-binned-median,tr11_pod_v2,5,5,7.748195869420544,0.2923051550124975,7.834204853415184
oracle-binned-median,tr11_2025_pod_v2,5,5,5.169995709635482,0.1634746231180966,5.205364065244239
oracle-binned-median,slayer_pod_v2,5,5,3.335051277170035,0.1910440606841695,3.3521155961748805
