trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,source_units,target_units,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
self-supervised,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,5,5,5,5,20,3.958078405899786,3.8513822463077063,0.009211147308440637,-0.8556156452183341,0.48708479507937286,0.5,0.17956930147052574,0.1748420399352388,0.00044268012889631114,-0.03444982000445271,0.02197767443416429,0.5,4.133767126069683,4.446809177460013,-0.14623760566392852,-1.6376999618600476,0.7005991210130551,0.25
self-supervised,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,20.23783445948492,10.802557944090216,10.243741649434753,2.3721530957451016,12.272310970911033,1.0,0.7594537902319366,0.3770329115685448,0.35926398598960074,0.11917903970195187,0.43221463307066615,1.0,42.42160011975906,12.930521628652436,29.491078491106627,17.065806137405826,36.15244461553901,1.0
self-supervised,stumpjumper_pod_v2,tr11_2025_pod_v2,cross_setup,5,5,5,5,25,20.1746278881823,7.446743912850886,12.435859600357142,11.307286436195994,16.113454997885395,1.0,0.6427938437123052,0.2423301968060937,0.4046848313404382,0.3575349947003795,0.45149387633611576,1.0,22.15692019349253,12.867618777623298,10.704956804669248,5.975285862017797,25.989731789388156,1.0
self-supervised,stumpjumper_pod_v2,slayer_pod_v2,cross_setup,5,5,5,5,25,10.2314441621196,8.867546008779039,2.5645650462359413,-2.954696942802105,8.842545223104917,0.8,0.5860949283674274,0.4883082386344521,0.13014705178262814,-0.169255958943757,0.33152350314354595,0.8,27.501257935139492,13.398833742613762,13.535111094092082,1.025046703853377,18.482093841994647,1.0
self-supervised,tr11_pod_v2,stumpjumper_pod_v2,cross_setup,5,5,5,5,25,49.52648735482966,3.8513822463077063,45.43853063355055,37.94966954174528,59.05385393950167,1.0,2.3759185392129964,0.1748420399352388,2.182643399067966,1.8147771348062853,2.936947626011261,1.0,100.98134631075654,4.446809177460013,96.35596456854617,69.84757207744002,150.18367619588287,1.0
self-supervised,tr11_pod_v2,tr11_pod_v2,same_setup,5,5,5,5,20,10.56313817141062,10.802557944090216,0.05978158023019908,-1.4376532741456727,1.0477904380022203,0.35,0.4434442207484719,0.3770329115685448,0.0038910517543190304,-0.061988134602765976,0.04614489816946693,0.35,12.465003761860327,12.930521628652436,0.44936900543456026,-1.4887844033753055,1.0695887029468807,0.5
self-supervised,tr11_pod_v2,tr11_2025_pod_v2,cross_setup,5,5,5,5,25,8.350784221137413,7.446743912850886,0.771720634903355,-0.3953211341505378,6.035487780441018,0.68,0.2395315691125048,0.2423301968060937,0.021276293434785598,-0.012864447785694483,0.18453019991905129,0.68,15.5389341257037,12.867618777623298,1.0256918247268914,-2.748463493532256,4.720723683582316,0.56
self-supervised,tr11_pod_v2,slayer_pod_v2,cross_setup,5,5,5,5,25,10.55914128806364,8.867546008779039,2.1906317435966463,-2.2510235698050156,7.775965114759424,0.64,0.5701396834925629,0.4883082386344521,0.1471863989056566,-0.12894694795704642,0.39461620828680616,0.64,10.59959088654754,13.398833742613762,-2.6034698312634106,-16.668477404225076,5.290956670494804,0.2
self-supervised,tr11_2025_pod_v2,stumpjumper_pod_v2,cross_setup,5,5,5,5,25,38.70405029019159,3.8513822463077063,34.647412925735914,22.6379167637765,43.098496617729154,1.0,1.856737183242432,0.1748420399352388,1.6575042281717192,1.0702722027152254,2.1096293890765376,1.0,62.705023948590885,4.446809177460013,58.07964220638053,31.458756795328583,100.41660820935519,1.0
self-supervised,tr11_2025_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,9.411160194255691,10.802557944090216,-1.3102521156124496,-2.9125492752280193,-0.1532281842924963,0.08,0.3550414426520024,0.3770329115685448,-0.050965816703760325,-0.12036507574948685,-0.005396494890574699,0.08,12.26652613440129,12.930521628652436,-0.3929527422250523,-3.6937875192413454,2.3091328368859756,0.44
