trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
self-supervised,0.15125468428724687,3.3182859338948463,7.286896444905687,1,diagonal,log-0049
self-supervised,0.6406378273680173,15.233071276722553,27.415656360991967,19,transfer,log-0049
self-supervised,0.21975357652925065,3.8513822463077063,4.130485000371445,1,diagonal,log-0054
self-supervised,0.6289820898355156,15.20243481192078,27.303144369869305,19,transfer,log-0054
self-supervised,0.17064004257270543,3.7818455459353584,4.625381742210358,1,diagonal,log-0056
self-supervised,0.6390477067082758,15.375735329569466,27.903764894532365,19,transfer,log-0056
self-supervised,0.17484203993523886,4.03226422442719,4.03845233616428,1,diagonal,log-0058
self-supervised,0.6271395418276846,15.149524454030805,27.501257935139492,19,transfer,log-0058
self-supervised,0.19923295507071298,4.15304997503975,4.446809177460013,1,diagonal,log-0072_184
self-supervised,0.642720584760537,15.304772496341746,27.70105458835459,19,transfer,log-0072_184
self-supervised,0.30693593390119245,8.715145070913326,9.306647906532156,1,diagonal,log-0078-valid
self-supervised,0.5975083175984791,11.874601288484591,15.116963594679264,19,transfer,log-0078-valid
self-supervised,0.3735513764774252,10.802557944090216,13.668476093827989,1,diagonal,log-0080-valid
self-supervised,0.5959870311269718,12.470755372439829,14.147609930729194,19,transfer,log-0080-valid
self-supervised,0.6306124014740979,13.19527537157912,13.418815023004555,1,diagonal,log-0081
self-supervised,0.46729289193154666,10.982823155721654,14.695401324425193,19,transfer,log-0081
self-supervised,0.37703291156854485,9.994092810050166,9.997206888897017,1,diagonal,log-0098
self-supervised,0.5627083518358348,10.935117535116689,13.893310602350187,19,transfer,log-0098
self-supervised,0.6461437422582638,12.86091818097745,12.930521628652436,1,diagonal,log-0099
self-supervised,0.40725724722806517,9.43601748144361,13.22576538015888,19,transfer,log-0099
self-supervised,0.2423301968060937,7.446743912850886,10.829931266823966,1,diagonal,log-0116
self-supervised,0.4703301397649214,9.411160194255693,12.984407513675547,19,transfer,log-0116
self-supervised,0.20129156524751948,5.202057071266257,12.867618777623298,1,diagonal,log-0117
self-supervised,0.46701905592794174,9.594893369653912,12.929738600498606,19,transfer,log-0117
self-supervised,0.24623513031720182,8.05369051134562,13.162352319858124,1,diagonal,log-0125
self-supervised,0.34758513065587116,7.890008668862197,10.796306652928756,19,transfer,log-0125
self-supervised,0.19854681793962173,7.201568114674277,54.05836520578254,1,diagonal,log-0126
self-supervised,0.33101940705271643,8.16431191830056,13.653358343462486,19,transfer,log-0126
self-supervised,0.28038423691944275,8.867341451986306,11.451963388823284,1,diagonal,log-0129
self-supervised,0.5129146057367526,10.297462516204002,13.35209016758463,19,transfer,log-0129
