trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
self-supervised,0.33097195370463467,7.539607283795273,18.175175218868006,1,diagonal,log103
self-supervised,0.20786724216223493,4.223843090628102,9.957770922393236,23,transfer,log103
self-supervised,0.33400828562664586,7.166951655435921,25.831642810513653,1,diagonal,log104
self-supervised,0.22351462979943562,5.088660844382236,12.321488456892844,23,transfer,log104
self-supervised,0.18916202284616265,4.459424699074687,7.079773542074569,1,diagonal,log106
self-supervised,0.19419126952954055,4.165155389143056,11.59160400958055,23,transfer,log106
self-supervised,0.1740218709704855,3.8610044637511964,6.491645498904506,1,diagonal,log107
self-supervised,0.2084190727474653,4.506836144639344,10.115859437431073,23,transfer,log107
self-supervised,0.203161843040207,4.6252977564775115,14.058048807569936,1,diagonal,log109
self-supervised,0.23441758909059793,5.041039683644554,10.318814463554318,23,transfer,log109
self-supervised,0.2797148821847805,6.204050879730634,12.062663438779214,1,diagonal,log110
self-supervised,0.2675775852297277,5.739198388442208,11.93899603324149,23,transfer,log110
self-supervised,0.2512920860775012,5.7717370303969435,10.830245962126638,1,diagonal,log112
self-supervised,0.22517389834980436,4.829693314628475,9.96058641881427,23,transfer,log112
self-supervised,0.199276064065692,4.09865143914461,16.463687698580802,1,diagonal,log-0046
self-supervised,0.2555758785996313,5.348360598872755,9.643526770151936,23,transfer,log-0046
self-supervised,0.17825073819597276,3.9999771377646782,7.548033568417931,1,diagonal,log-0048
self-supervised,0.24236756123760136,5.081278820601004,12.590060793792382,23,transfer,log-0048
self-supervised,0.16386576961992452,3.9712173540203985,7.510551343870971,1,diagonal,log-0049
self-supervised,0.20963960426626663,4.533538265145385,10.223265041326705,23,transfer,log-0049
self-supervised,0.273171437068624,4.900868212304823,8.887227927729986,1,diagonal,log-0054
self-supervised,0.25643723677886215,5.6954657586272655,9.869404732214804,23,transfer,log-0054
self-supervised,0.21619307961967635,5.124351227523006,8.163238973211618,1,diagonal,log-0055
self-supervised,0.2568723592588758,5.435320859910958,9.759371881432743,23,transfer,log-0055
self-supervised,0.22816580036330264,5.139366746484403,9.496372910210189,1,diagonal,log-0056
self-supervised,0.26826446297922485,5.795228651589985,13.317388435266277,23,transfer,log-0056
self-supervised,0.18343677850494838,4.291790750760939,4.773309920031776,1,diagonal,log-0058
self-supervised,0.26200645631332853,6.104276497327444,13.200043951410308,23,transfer,log-0058
self-supervised,0.1355968904581543,3.7226660669481557,4.342498928431124,1,diagonal,log-0063
self-supervised,0.23614787974603033,5.0211164429717465,9.975756865255955,23,transfer,log-0063
self-supervised,0.2047059074212776,4.6275683972618324,10.563183858279368,1,diagonal,log-0071_183
self-supervised,0.2042940120297676,5.0471403421571095,11.969622816137063,23,transfer,log-0071_183
self-supervised,0.2134128200037842,4.577433164243044,4.616855271726011,1,diagonal,log-0072_184
self-supervised,0.223136944764431,5.044219225820501,12.150554693140792,23,transfer,log-0072_184
self-supervised,0.34905356380177327,6.760503902836898,12.459123217514756,1,diagonal,log-0073_185
self-supervised,0.3079665362193686,7.073449422805184,14.020187412791104,23,transfer,log-0073_185
self-supervised,0.29591190320494015,8.21319044278346,17.310271611689803,1,diagonal,log-0078-valid
self-supervised,1.7434295222094036,39.50637730741546,60.42657835587729,23,transfer,log-0078-valid
self-supervised,0.24972548864210875,7.368506285706691,13.806247781110168,1,diagonal,log-0079
self-supervised,1.7804302799479075,40.16420686185725,60.221152029884614,23,transfer,log-0079
self-supervised,0.36781105689962573,10.765833283632965,16.34950984975852,1,diagonal,log-0080-valid
self-supervised,2.020238150194103,45.182072555985265,83.27501133245234,23,transfer,log-0080-valid
self-supervised,0.5361639166700389,11.047797936310102,17.21906843042799,1,diagonal,log-0081
self-supervised,1.7596023034640842,39.70882060735224,60.91459522385621,23,transfer,log-0081
self-supervised,0.37186542335626327,9.887511008050074,11.421965761332395,1,diagonal,log-0098
self-supervised,2.1533000874407073,48.5571676551135,94.6850357605798,23,transfer,log-0098
self-supervised,0.6569891190649726,12.90407873822007,15.592032656640267,1,diagonal,log-0099
self-supervised,1.7628271307683177,39.580982720603366,65.10265076921576,23,transfer,log-0099
oracle-power,0.2972202349453357,6.770736381745012,6.770736381745012,1,diagonal,log103
oracle-power,0.22207767875541193,5.257822735738287,7.76043151986947,23,transfer,log103
oracle-power,0.32164422184432784,6.90165090929919,6.90165090929919,1,diagonal,log104
oracle-power,0.24690002201008157,5.852187466354353,8.018254126132442,23,transfer,log104
oracle-power,0.16990059837314211,4.005343743807022,4.005343743807023,1,diagonal,log106
oracle-power,0.19316310746240029,4.320060372836327,6.1875568298529675,23,transfer,log106
oracle-power,0.15863803458084466,3.5196849466193805,3.5196849466193805,1,diagonal,log107
oracle-power,0.18506501542045098,4.15252591216286,6.168194878572221,23,transfer,log107
oracle-power,0.18438894215923102,4.197903246622781,4.197903246622781,1,diagonal,log109
oracle-power,0.17977437530792473,4.049364299366559,4.656918896117034,23,transfer,log109
oracle-power,0.24457496140158363,5.424650603471327,5.424650603471328,1,diagonal,log110
oracle-power,0.1952160914765263,4.503428951236712,5.783163634550416,23,transfer,log110
oracle-power,0.2391267276646016,5.492320154458684,5.492320154458684,1,diagonal,log112
oracle-power,0.20529511599483033,4.558716793201896,5.276846732213014,23,transfer,log112
oracle-power,0.13758809520454646,2.8298714502579694,2.8298714502579703,1,diagonal,log-0046
oracle-power,0.1932941591755013,4.400644468448322,5.7553124953177965,23,transfer,log-0046
oracle-power,0.1378239795352667,3.0927937396293443,3.0927937396293443,1,diagonal,log-0048
oracle-power,0.19056664183018468,4.338548261457574,6.843708334865995,23,transfer,log-0048
oracle-power,0.13765796941826763,3.336082443215547,3.336082443215547,1,diagonal,log-0049
oracle-power,0.19111066807720012,4.29878073798885,6.567898140339994,23,transfer,log-0049
oracle-power,0.1634290104303589,2.932019726445164,2.9320197288284486,1,diagonal,log-0054
oracle-power,0.19451058913583424,4.428338402910841,5.218033236402631,23,transfer,log-0054
oracle-power,0.14718963747529734,3.488786046260472,3.488786046260472,1,diagonal,log-0055
oracle-power,0.19762561978025966,4.499256957475086,5.4896646330298395,23,transfer,log-0055
oracle-power,0.15631613717483947,3.5209744670589767,3.5209744670589775,1,diagonal,log-0056
