pipeline,duration_s,trainer,evaluation_scope,aligned_mae_ci95_high,aligned_mae_ci95_low,aligned_mae_log_mean,aligned_mae_log_median,aligned_nrmse_p90_ci95_high,aligned_nrmse_p90_ci95_low,aligned_nrmse_p90_log_mean,aligned_nrmse_p90_log_median,aligned_nrmse_std_ci95_high,aligned_nrmse_std_ci95_low,aligned_nrmse_std_log_mean,aligned_nrmse_std_log_median,aligned_rmse_ci95_high,aligned_rmse_ci95_low,aligned_rmse_log_mean,aligned_rmse_log_median,anchored_mae_ci95_high,anchored_mae_ci95_low,anchored_mae_log_mean,anchored_mae_log_median,anchored_nrmse_std_ci95_high,anchored_nrmse_std_ci95_low,anchored_nrmse_std_log_mean,anchored_nrmse_std_log_median,anchored_rmse_ci95_high,anchored_rmse_ci95_low,anchored_rmse_log_mean,anchored_rmse_log_median,bin_occupied_rmse_ci95_high,bin_occupied_rmse_ci95_low,bin_occupied_rmse_log_mean,bin_occupied_rmse_log_median,bin_rmse_ci95_high,bin_rmse_ci95_low,bin_rmse_log_mean,bin_rmse_log_median,completed_trials,completion_rate,correlation_ci95_high,correlation_ci95_low,correlation_log_mean,correlation_log_median,failed_trials,failure_rate,fixed_aligned_nrmse_std_ci95_high,fixed_aligned_nrmse_std_ci95_low,fixed_aligned_nrmse_std_log_mean,fixed_aligned_nrmse_std_log_median,fixed_aligned_rmse_ci95_high,fixed_aligned_rmse_ci95_low,fixed_aligned_rmse_log_mean,fixed_aligned_rmse_log_median,n_logs,prediction_std_ci95_high,prediction_std_ci95_low,prediction_std_log_mean,prediction_std_log_median,prediction_to_travel_std_ci95_high,prediction_to_travel_std_ci95_low,prediction_to_travel_std_log_mean,prediction_to_travel_std_log_median,scheduled_trials,successful_trials,training_observations_ci95_high,training_observations_ci95_low,training_observations_log_mean,training_observations_log_median,travel_p90_span_ci95_high,travel_p90_span_ci95_low,travel_p90_span_log_mean,travel_p90_span_log_median,travel_range_ci95_high,travel_range_ci95_low,travel_range_log_mean,travel_range_log_median,travel_std_ci95_high,travel_std_ci95_low,travel_std_log_mean,travel_std_log_median
front,10.0,oracle-power,full_log,7.894751177539252,5.627336695179562,6.666283280565938,6.4767619689790035,0.1501325779592072,0.0783442364192516,0.10849319405208317,0.09700276777779068,0.49719862030745243,0.26014502514142196,0.36106717085063195,0.32585786710302145,10.072677120459,7.430866012926045,8.849544104815838,9.045089181062469,8.554396813223066,6.210051496616923,7.1953447552531715,6.8215859559195255,0.5922227605904754,0.2904098062593617,0.41880876637892334,0.373793732286933,11.920151384146408,8.307591960156369,10.230431739538743,10.463551874313449,12.626303943775708,7.362051561206389,9.72148685846723,9.176105070419592,12.626303943775708,7.362051561206389,9.72148685846723,9.176105070419592,120,1.0,0.9695273670880855,0.8855824304517405,0.9357051365412246,0.9520056120838477,0,0.0,0.49719862030745243,0.26014502514142196,0.36106717085063195,0.32585786710302145,10.072677120459,7.430866012926045,8.849544104815838,9.045089181062469,6,30.60920830934085,21.340391160920433,26.408519386561707,27.27595868942384,1.1212518969405574,0.9777710732197589,1.0345688185765358,1.0046834855692917,120,120,1000.0,976.0,984.0,976.0,100.33618257213436,66.64399122042525,85.35279893516865,89.0782230129463,204.83504906144736,187.98044923471477,196.15476025104508,195.64878245697298,29.388217228059816,20.123249266542473,25.561234723408884,27.172237675624366
front,10.0,oracle-power,full_log_excluding_training,7.908767488987789,5.724372958110321,6.707553802381764,6.48952096004718,0.1507888154058405,0.07906172560213756,0.10928970650834752,0.09801857851706451,0.4990003965011918,0.2618369913042302,0.3633453925812939,0.32919878993845963,10.141572869319681,7.488117687553107,8.890130985178073,9.04070239866143,8.614044877070368,6.38362588785603,7.311519332814104,6.936887233515912,0.596888323825552,0.2953303834751885,0.42387311131896627,0.37940062665615826,11.997593001543203,8.479245409846685,10.352158113120764,10.579635927972399,12.673315455739838,7.399142184176511,9.761208021499778,9.211166424582983,12.673315455739838,7.399142184176511,9.761208021499778,9.211166424582983,120,1.0,0.9692626729373062,0.8847634732509553,0.9353938835713094,0.9521555045256667,0,0.0,0.49901241630163606,0.2619303424983689,0.36339230679102513,0.3292341615730705,10.14212348610117,7.489437125013829,8.891134280145886,9.041842229322663,6,30.62660659673174,21.33823403613046,26.437268390589864,27.34696453890739,1.1215077031314955,0.9776215045849134,1.0353106608176954,1.006802774736677,120,120,1000.0,976.0,984.0,976.0,100.23222586160499,66.84578315883769,85.32373067288245,88.89318299820465,204.83504906144736,187.98044923471477,196.15476025104508,195.64878245697298,29.396043282732965,20.156467958583413,25.566841160720305,27.148012240844547
front,10.0,oracle-power,training_window,4.839286906395275,3.370718451765122,4.143539202387878,4.220612249003234,0.08958215660719619,0.05280733766531307,0.06882735538218451,0.06409257187404427,0.29628262398007965,0.16824044946146505,0.225575958680558,0.21220480260012925,6.119691227346324,4.273725078552784,5.191493085541062,5.181062950724077,4.839286906213548,3.3707327644950777,4.143543971883445,4.220612244941709,0.29628262409485134,0.1682404495130032,0.2255759587359946,0.21220480260012925,6.119691227346324,4.273725103891387,5.191493093987263,5.181062950724077,5.840637095265271,4.330690972446141,4.951490591432516,4.683143706586133,6.159016543815068,4.253225448130243,5.224644513265104,5.261691547850002,120,1.0,0.9856204060382987,0.9544669311400233,0.9723340087637381,0.976914689112892,0,0.0,0.4180079372603459,0.23412688210089067,0.3039546813505494,0.2597292246904117,7.922776550276093,5.880632450534083,6.861670603259641,6.781602808968746,6,26.83481698464401,15.9066083156285,22.932706287356805,26.0566935617979,0.9856200036729532,0.9544659901046011,0.9723335609743438,0.9769146891454774,120,120,1000.0,976.0,984.0,976.0,91.16281423724354,54.174344337506184,77.89530754532365,88.34876406122122,147.51454708192767,99.58919261975723,127.09858738286124,134.19202244689882,27.17331811261154,16.765671542493223,23.511643922310707,26.595942111827355
front,20.0,oracle-power,full_log,7.67784036530965,5.478072361765396,6.437095689751973,6.155374342180872,0.1442918150874387,0.07440515634392705,0.10234450345207735,0.08833653892486627,0.4778732994336017,0.24716257680684658,0.3405765105385346,0.29669365537515546,9.619853368204415,7.062324887725296,8.316832155528505,8.268318210655803,8.016361713745953,5.870339480411844,6.786207436423495,6.471921115112686,0.5659787007455238,0.270827454321999,0.38475347949742483,0.31745428342475174,11.393968662510083,7.744020971182588,9.33506821647079,8.867215015719701,10.198875965648563,6.615147161169079,7.99172561613051,7.161153721573887,10.198875965648563,6.615147161169079,7.99172561613051,7.161153721573887,120,1.0,0.9705330663299996,0.8910742793064723,0.939896274112796,0.9580814767019157,0,0.0,0.4778732994336017,0.24716257680684658,0.3405765105385346,0.29669365537515546,9.619853368204415,7.062324887725296,8.316832155528505,8.268318210655803,6,29.514790804110348,20.719807504822334,25.679810538497506,26.804833306559843,1.0731149091868148,0.9595087965714224,1.006229322523021,0.9860642618108254,120,120,2000.0,1952.0,1968.0,1952.0,100.33618257213436,66.64399122042525,85.35279893516865,89.0782230129463,204.83504906144736,187.98044923471477,196.15476025104508,195.64878245697298,29.388217228059816,20.123249266542473,25.561234723408884,27.172237675624366
front,20.0,oracle-power,full_log_excluding_training,7.718348169790163,5.519887755875708,6.495049637978281,6.246912988268974,0.14546626648095656,0.07524901079711563,0.10346220143456121,0.08967132702561145,0.48138417905959296,0.24881138011982212,0.3437452485480926,0.30104018646486264,9.671794317000476,7.067899237777704,8.367544479403112,8.362939883431157,8.119032844661346,6.017520482106775,6.8898952538632345,6.53313243482158,0.5765512054213153,0.27251055725810164,0.39181652915805026,0.32638782479473394,11.50952936970228,7.910543171769048,9.491596412777561,9.054716696861352,10.254593447736209,6.622155772487805,8.04316225797947,7.252737553714393,10.254593447736209,6.622155772487805,8.04316225797947,7.252737553714393,120,1.0,0.9704823991003202,0.8908718557674387,0.9395868912138471,0.9574064187737827,0,0.0,0.48143065927353224,0.2489696194957276,0.34384719576817796,0.301141308535274,9.672710411187197,7.071350311038527,8.369834945844032,8.36544411530637,6,29.49430346587554,20.638662448146142,25.554924355599123,26.53180715277568,1.076639507130695,0.9575000144066306,1.0079663330482431,0.9897594776074038,120,120,2000.0,1952.0,1968.0,1952.0,99.856717289557,66.93339306115395,85.26177605458882,88.99521781305552,204.83504906144736,187.98044923471477,196.15476025104508,195.64878245697298,29.368009413196376,20.199405200550252,25.57359871953899,27.15338154487035
front,20.0,oracle-power,training_window,5.027866730858017,3.6017677585373966,4.392341742507589,4.547390738127353,0.09879722374327536,0.05262866791356696,0.07388003731839161,0.07021422029833255,0.31874990983823437,0.17261445314694232,0.24257783002183764,0.23636912708033625,6.628422028167743,4.58530461237524,5.743285711661379,6.01613049444115,5.027866736167139,3.6017791675172024,4.392345516699319,4.547390646413614,0.3058203708857593,0.17261445314694232,0.24257783002195812,0.23636912708033625,6.628422028167744,4.585304630462251,5.743285717691016,6.016130494443052,6.5116924085905135,4.717347273440852,5.545339908467601,5.406980043371439,6.996168320581916,4.716717449457498,5.849026473397686,5.8341936501536455,120,1.0,0.9841601581740389,0.9466325395852581,0.9674450955817768,0.9715425889860337,0,0.0,0.3934162227676087,0.21565175306332457,0.289282035498671,0.2587781306650798,8.063396798885915,6.098651702157765,6.984271874205942,6.7907671215741425,6,27.684562369433877,16.366610748241662,23.44919668665516,26.29641694228994,0.9826889193045287,0.9466321409590154,0.9674449623385311,0.971542588237282,120,120,2000.0,1952.0,1968.0,1952.0,92.34605806357578,56.13999803768502,79.25207785646715,89.27017746814067,159.4674705420269,123.00648752049096,141.31343336646452,141.46634203687574,28.251872050707895,16.88116420098654,23.95776765523137,26.74026671399966
front,40.0,oracle-power,full_log,7.51925154564363,5.5201865566929085,6.33753764999753,5.973174847656054,0.1388248135885966,0.0747843483632627,0.0994126580965028,0.08462881233764911,0.45980538909400415,0.24887925978392686,0.3309695889936148,0.28422411810291315,9.252575413885154,7.1221340858416555,8.096000019711063,7.913290559406379,7.575640388320107,5.709425399143317,6.532140892016444,6.3113568885859115,0.4929534981333446,0.252757409932031,0.3497965774766704,0.30367882436463556,9.93127647979502,7.230937077463267,8.547890987225491,8.48145940441819,9.305314492094922,6.459234624822927,7.618130406068769,7.089842101288458,9.305314492094922,6.459234624822927,7.618130406068769,7.089842101288458,120,1.0,0.9694865652254034,0.895692980390554,0.9416190394607464,0.9596775727662819,0,0.0,0.45980538909400415,0.24887925978392686,0.3309695889936148,0.28422411810291315,9.252575413885154,7.1221340858416555,8.096000019711063,7.913290559406379,6,29.033757600708547,19.984562789154882,25.21236097188587,26.618762525794182,1.045144026287823,0.9314903049688348,0.9863847815763539,0.9825200134724036,120,120,4000.0,3903.5,3935.8333333333335,3904.0,100.33618257213436,66.64399122042525,85.35279893516865,89.0782230129463,204.83504906144736,187.98044923471477,196.15476025104508,195.64878245697298,29.388217228059816,20.123249266542473,25.561234723408884,27.172237675624366
front,40.0,oracle-power,full_log_excluding_training,7.518298687500803,5.622097384509165,6.404882783935503,6.074252279796541,0.14075041057216497,0.07840925709529079,0.10260338877172837,0.08865049864772936,0.46643844503010146,0.2632134393155883,0.3405270656095391,0.29192931248292747,9.344670555035677,7.258942349264574,8.213289599953187,8.03625589555931,7.739678364023442,5.889914660151295,6.708034720309359,6.49451113675334,0.5038133440820194,0.2666100447495938,0.3625935785758146,0.3173573468958304,10.092215436857659,7.428146203587724,8.764027911779836,8.771722094894123,9.414522578746297,6.568584150599568,7.709345441408968,7.144929594881041,9.414522578746297,6.568584150599568,7.709345441408968,7.144929594881041,120,1.0,0.9670792043928825,0.8928259956503022,0.939166735625694,0.9575950068338971,0,0.0,0.46648093240988864,0.2632514521292732,0.3406768988296836,0.292298311949889,9.347143406276542,7.25993382859663,8.217978890487464,8.04685943658922,6,28.92119452211539,19.87998063799724,24.989149823729623,26.166274311076258,1.0514621106239828,0.9296243186784614,0.9899109807600911,0.988646512977829,120,120,4000.0,3903.5,3935.8333333333335,3904.0,99.45851302502926,67.01988630724641,84.8243363056675,87.99460958472683,204.83504906144736,187.98044923471477,196.13415029308536,195.586952583094,29.55805726760603,20.212250667406053,25.593374916209854,27.00981681361747
front,40.0,oracle-power,training_window,5.44759444657097,3.776226845474458,4.762652528981175,5.064136294898099,0.1006096115780388,0.058611901562505196,0.07867610865122249,0.07680681281312346,0.33281256062801984,0.1912388432823284,0.26020433966775114,0.2565616150929052,7.18589435159117,5.011716481750062,6.191319360690279,6.376347248729605,5.447594452671422,3.7762268458398363,4.762652531254619,5.064136295252601,0.3328125606280198,0.1912388432823284,0.26020433966775114,0.2565616150929052,7.18589435159117,5.011716481750062,6.191319360690279,6.376347248729605,7.019408252656107,5.148145506478917,6.03588952268651,5.940114808924509,7.455619577241928,5.118648098271285,6.195982427122555,6.013679605854453,120,1.0,0.9811462567677129,0.9411781872457232,0.9628982524256527,0.9663703132635223,0,0.0,0.36340500012060867,0.21242822661607308,0.2810966328643554,0.26745667185638433,7.884164914445921,6.385844176658422,7.140629346087532,7.151878947158253,6,27.67519914637137,17.413141370431926,23.717447528725785,26.064002069374062,0.9811462557479725,0.9411781867466673,0.9628982517924789,0.9663703128827964,120,120,4000.0,3903.5,3935.8333333333335,3904.0,93.06879429491471,61.77314549980254,81.51428627220619,89.70091902190134,180.39266813277862,137.09943473396788,157.73108766347946,155.7011601236919,28.236453231937624,18.465197385740822,24.565222769121544,26.994017689686174
front,60.0,oracle-power,full_log,7.357861677927538,5.442758421722488,6.249728994930383,5.948566885141123,0.13666442299361353,0.07366961232155127,0.09817123496540331,0.08417966958104509,0.45267059017053884,0.24532599522619108,0.3269055591624048,0.28272009209048454,9.107064447573704,7.024128264151197,8.001540337971178,7.873428302188637,7.297312443328289,5.524106499830441,6.3187593578877985,6.134859130504664,0.46596076720246876,0.24824406856874387,0.3388921831333162,0.30247171362873604,9.377342912552272,7.106896613861868,8.311602203250128,8.450567083336244,8.59482914507431,6.454259543907387,7.367073785253709,7.052132666779428,8.59482914507431,6.454259543907387,7.367073785253709,7.052132666779428,120,1.0,0.9700833875831775,0.8973995843055218,0.9425189050589586,0.9600737432881765,0,0.0,0.45267059017053884,0.24532599522619108,0.3269055591624048,0.28272009209048454,9.107064447573704,7.024128264151197,8.001540337971178,7.873428302188637,6,28.957165022739634,19.62663351633064,24.899251082434706,26.113954708233855,1.0318489211448645,0.9276067675154254,0.9735029163203541,0.9610530603007724,120,120,6000.0,5855.0,5903.5,5855.5,100.33618257213436,66.64399122042525,85.35279893516865,89.0782230129463,204.83504906144736,187.98044923471477,196.15476025104508,195.64878245697298,29.388217228059816,20.123249266542473,25.561234723408884,27.172237675624366
