pipeline,duration_s,trainer,evaluation_scope,aligned_mae_ci95_high,aligned_mae_ci95_low,aligned_mae_log_mean,aligned_mae_log_median,aligned_nrmse_p90_ci95_high,aligned_nrmse_p90_ci95_low,aligned_nrmse_p90_log_mean,aligned_nrmse_p90_log_median,aligned_nrmse_std_ci95_high,aligned_nrmse_std_ci95_low,aligned_nrmse_std_log_mean,aligned_nrmse_std_log_median,aligned_rmse_ci95_high,aligned_rmse_ci95_low,aligned_rmse_log_mean,aligned_rmse_log_median,anchored_mae_ci95_high,anchored_mae_ci95_low,anchored_mae_log_mean,anchored_mae_log_median,anchored_nrmse_std_ci95_high,anchored_nrmse_std_ci95_low,anchored_nrmse_std_log_mean,anchored_nrmse_std_log_median,anchored_rmse_ci95_high,anchored_rmse_ci95_low,anchored_rmse_log_mean,anchored_rmse_log_median,bin_occupied_rmse_ci95_high,bin_occupied_rmse_ci95_low,bin_occupied_rmse_log_mean,bin_occupied_rmse_log_median,bin_rmse_ci95_high,bin_rmse_ci95_low,bin_rmse_log_mean,bin_rmse_log_median,completed_trials,completion_rate,correlation_ci95_high,correlation_ci95_low,correlation_log_mean,correlation_log_median,failed_trials,failure_rate,fixed_aligned_nrmse_std_ci95_high,fixed_aligned_nrmse_std_ci95_low,fixed_aligned_nrmse_std_log_mean,fixed_aligned_nrmse_std_log_median,fixed_aligned_rmse_ci95_high,fixed_aligned_rmse_ci95_low,fixed_aligned_rmse_log_mean,fixed_aligned_rmse_log_median,n_logs,prediction_std_ci95_high,prediction_std_ci95_low,prediction_std_log_mean,prediction_std_log_median,prediction_to_travel_std_ci95_high,prediction_to_travel_std_ci95_low,prediction_to_travel_std_log_mean,prediction_to_travel_std_log_median,scheduled_trials,successful_trials,training_observations_ci95_high,training_observations_ci95_low,training_observations_log_mean,training_observations_log_median,travel_p90_span_ci95_high,travel_p90_span_ci95_low,travel_p90_span_log_mean,travel_p90_span_log_median,travel_range_ci95_high,travel_range_ci95_low,travel_range_log_mean,travel_range_log_median,travel_std_ci95_high,travel_std_ci95_low,travel_std_log_mean,travel_std_log_median
front,10.0,oracle-power,full_log,4.297653925481118,2.464362790883543,3.7803818656523425,2.898696486710247,0.07642002361878125,0.04760748655374006,0.06931281168487742,0.05473156149471551,0.2634445760094999,0.16261950391810664,0.23442284440718553,0.18833464573929598,7.16162891441957,3.717625828372123,5.4192856611339595,4.413748588881949,3.9390482539663347,2.5302116936359225,4.015203197223097,3.0155629849158574,0.28427724393291176,0.17024936599508142,0.2559305964467426,0.2008715203815831,7.538466330616103,3.7738936017732136,5.9228207883924,4.58633092265364,7.124131279064493,4.3931357181706545,6.225593531962292,5.971676147556658,7.120535430302317,4.2038364919975475,5.952683500140868,5.436289344225945,480,1.0,0.9879075686047092,0.9682204698772805,0.9694554931645073,0.9836461483662065,0,0.0,0.2634445760094999,0.16261950391810664,0.23442284440718553,0.18833464573929598,7.011215121365375,3.717625828372123,5.4192856611339595,4.413748588881949,24,23.430050105838337,21.40110911992562,22.931851604901183,22.297202120093583,0.9936575999137314,0.9672993699341019,0.9877327105482673,0.9841821921829712,480,480,1000.0,976.0,985.0,976.0,80.76479900660537,75.06222115455442,78.76876042393599,79.34144388056544,167.6308323463045,149.90437255734173,163.10144071185505,157.4201158688699,23.57463000224599,21.985766208183488,23.20687281881527,22.68625101314575
front,10.0,oracle-power,full_log_excluding_training,4.216534335833425,2.5163484290513485,3.8171677799525985,2.957320969195285,0.07965582319526626,0.047699134777083235,0.06989199633236387,0.05524036413386444,0.2707580051571269,0.16443561035048787,0.23610932387990666,0.19118147037753203,7.0351139201360935,3.7586664368858695,5.463239732885234,4.476893433733872,4.044297320949732,2.588607114905569,4.067012456498998,3.059121080101905,0.2883508009302907,0.182026085199079,0.2582347736113808,0.20204538412425693,7.205828181212576,3.824792814091584,5.988111285800708,4.667838366023991,7.14438051031042,4.430154779899063,6.2606398413659194,6.027733682577048,7.20760011523736,4.228175537913138,5.926616063164009,5.1764244006002915,480,1.0,0.9877923658661695,0.9678858829795393,0.9693153298764728,0.9835072190703879,0,0.0,0.27091968923182835,0.16443649897803014,0.23613099044425936,0.19120413398002528,6.839810489224014,3.7590694827068267,5.463718126388777,4.477870709281715,24,23.39855018658958,21.315382091135913,22.94675302460759,22.365095921967267,0.9936349239506913,0.9666994501763431,0.987383102809579,0.9838323348704008,480,480,1000.0,976.0,985.0,976.0,81.28438460162783,76.16095983469563,78.83233034657262,79.74812198721679,167.6308323463045,149.90437255734173,163.10144071185505,157.4201158688699,23.71899494070177,21.90507504976977,23.225949947344485,22.619606651080602
front,10.0,oracle-power,training_window,2.951862151313135,1.6489546960503147,2.393761049399814,1.852580504219639,0.06121092148481241,0.03460018683009959,0.04798961899291798,0.04226724069147879,0.19728614548318957,0.11633321940815915,0.15965243117397945,0.14317900971897785,3.9792580784741025,2.433678179197708,3.3884934012744305,2.664059295338379,2.9518621512863277,1.6489646508460396,2.39376095882898,1.8525805028114755,0.19728614548318957,0.11633321940815976,0.15965243134337492,0.14317900971922984,3.9792580784741025,2.4336781791977735,3.3884934013662034,2.664059295338379,4.503875073436129,2.692292603064698,3.754210996613073,3.208767320627162,4.065248811909207,2.4252400905734834,3.550537257734313,2.8769266515890197,480,1.0,0.9932102138132484,0.9803239322857391,0.9853995216600223,0.9896944431946167,0,0.0,0.23595588682440927,0.1323102939692956,0.1949201335363041,0.16550984511086664,5.127318521038978,2.6299336768087054,4.213351712522722,3.2009164320832255,24,21.315553219392772,19.03271817063547,20.71408200623654,20.05793093789464,0.9932102114374329,0.9803239322688829,0.9853991604420052,0.9896944168244668,480,480,1000.0,976.0,985.0,976.0,73.35901715968505,62.61510605558768,69.67980807504189,68.38242437838485,115.82303205083454,104.14482034115306,113.6462978801,111.69002437595185,22.256179884102984,19.187558215765296,21.060756104322365,20.2069267734445
front,20.0,oracle-power,full_log,4.103496107531439,2.386689704024473,3.6873805502193746,2.859553289373578,0.07592774588684292,0.04621820613054578,0.06644689689782256,0.05403824826426818,0.2633573841313557,0.15500340362187057,0.22488230006740947,0.1857424480371072,6.756432371422573,3.4999122731072765,5.208408077961181,4.357872936622435,4.426622025031626,2.45458878863049,3.7841480682963753,2.858999773109028,0.27629140116244444,0.16623978984718213,0.24056608177318298,0.19962057009916906,7.360721887276661,3.706370423376361,5.5696603527008195,4.536702789639529,6.906999168794964,4.307557044444476,5.878402501107286,5.403943783629036,6.906999168794964,4.203201057861294,5.625827748752678,5.135336276846733,480,1.0,0.9882167375437159,0.9677797768784955,0.9708135900563816,0.9838693130275741,0,0.0,0.2633573841313557,0.15500340362187057,0.22488230006740947,0.1857424480371072,6.655518479133983,3.537954353820728,5.208408077961181,4.357872936622435,24,23.155841240618038,21.400315320465022,22.816458996397454,22.331442340587888,0.9966055455655927,0.9591441273111264,0.9828054238421077,0.9827358889574513,480,480,2000.0,1952.0,1969.9583333333333,1952.0,81.12605070832228,76.14710223516092,78.76876042393599,79.34144388056544,167.6308323463045,149.90437255734173,163.10144071185505,157.4201158688699,23.57463000224599,22.179909882779203,23.20687281881527,22.68625101314575
front,20.0,oracle-power,full_log_excluding_training,4.202208487075058,2.446134381380931,3.7464831303900668,2.9911318136027507,0.0791216629706755,0.045857463311829896,0.06733092909057216,0.05552151770282658,0.2732846124076014,0.158432097258969,0.22728381507783857,0.1894081325221489,6.74889800673257,3.5542494818947254,5.274006526984147,4.4798113041219505,4.589622037210263,2.560953054742173,3.8600876391551595,2.921203544173806,0.2836342295035291,0.1672869616874293,0.2443247677257805,0.20213199581006397,7.103970397801254,3.744904440644771,5.674504511588077,4.695222542661778,7.107895195546384,4.369135981893353,5.959662217422699,5.52419480729624,7.107895195546384,4.21301740477056,5.612097145801809,4.923816504248197,480,1.0,0.9877452218126196,0.9657856507591611,0.9705181256153604,0.9834153034120087,0,0.0,0.2637661574123089,0.15844339694128895,0.22732636495552216,0.18946145665010522,6.749489194075773,3.561281758997848,5.275454658351763,4.482322586785003,24,23.120744932036843,21.468514711064163,22.85433511737152,22.415556899593575,0.9968791687435672,0.9600308952953669,0.9823327826454117,0.9815386476802683,480,480,2000.0,1952.0,1969.9583333333333,1952.0,81.08708714533418,74.82412643111414,78.82411781037212,80.01889445693158,167.6308323463045,150.2078701923142,163.08965701833722,157.3458542508027,23.703049240845083,22.27170872531942,23.24545416565553,22.68245805105797
front,20.0,oracle-power,training_window,2.8494460413514378,1.8236593100229481,2.568714295819266,2.001880823577375,0.06475120026714605,0.03541049449942602,0.05157154657526717,0.04471979624649312,0.21230608173001247,0.1223694071717567,0.17023313932611073,0.1493353420893243,4.619679763739997,2.5988704568578602,3.7077233836724672,2.9770003233571907,2.8494446903611967,1.8236593099517102,2.568714227155033,2.001880823586329,0.21230608173001247,0.12149120835417651,0.17023314141656873,0.14933534208972524,4.619679763740001,2.6105864967994714,3.707723383674331,2.9770003233787476,4.956084680499349,2.831896828453452,4.169208474141269,3.80547256144766,5.4449444195877765,2.8332146329946735,4.269851180845094,3.818424776629224,480,1.0,0.9924846232542492,0.981166492338494,0.9828007639156157,0.9887835800743554,0,0.0,0.22798756723236085,0.12468458660009693,0.19091970631405086,0.16116667461289075,5.176918591218364,2.7973063514487215,4.199692354553933,3.3210139593798296,24,21.973159607714948,19.325701952658925,21.524130808126866,20.731464197023218,0.9924846231177336,0.9771762089479791,0.9827993191377921,0.9887839747529615,480,480,2000.0,1952.0,1969.9583333333333,1952.0,73.61379874421613,64.46941561755877,72.39313096691902,70.34703917116244,126.96082408719141,116.67404977656058,126.65252964489645,123.67320942139774,22.316380367630224,19.719155263832445,21.849734421559123,20.88432354547041
front,40.0,oracle-power,full_log,4.03582745773566,2.3619200514971457,3.5930835929948883,2.8073270561116423,0.07567039312541371,0.04481470886103192,0.06521460137005508,0.05274560000360062,0.26229510272703627,0.15453354417407045,0.22075496415745877,0.18132564128142326,6.940279018897416,3.4807790914075816,5.117877415767944,4.253657106411872,4.25202099536022,2.3666655112754316,3.6519375569910912,2.7941209509358353,0.27060992443678095,0.16015881414323707,0.22775565918132568,0.187609597607082,7.128425781536908,3.5459627679835535,5.283461322849985,4.382079919422146,6.6438948295999705,4.460941262693009,5.840813320628311,5.648676731240357,6.813409970054994,3.9544965807655084,5.47010166528064,5.463174280298201,480,1.0,0.9882778839775238,0.968232930843747,0.9714843156767857,0.9840494671911832,0,0.0,0.25222911260480985,0.15453354417407045,0.22075496415745877,0.18132564128142326,6.740813434818079,3.4807790914075816,5.117877415767944,4.253657106411872,24,22.520897671593268,21.34950303917671,22.613880230982232,22.16778873761066,0.9947626034710136,0.9527975194663271,0.9741748914664701,0.9791290067964104,480,480,4000.0,3904.0,3939.9166666666665,3904.0,81.12605070832228,74.83414286580017,78.76876042393599,79.34144388056544,167.6308323463045,149.90437255734173,163.10144071185505,157.4201158688699,23.575299449388368,22.176203905622828,23.20687281881527,22.68625101314575
front,40.0,oracle-power,full_log_excluding_training,4.206239435413371,2.4908241612510125,3.6935552340401334,3.0538117547202965,0.07766081480338444,0.04513831525051691,0.06670401389265045,0.05695320806851076,0.27119876352091477,0.15692882900706928,0.22451273369680244,0.19094879316368832,6.988962469415812,3.5870446366848583,5.233675455650764,4.556953656427537,3.9214898291409885,2.561362751236236,3.7815668272784815,2.9416194076461295,0.2835940315044394,0.16064424984209047,0.23353740328937553,0.19794557969288065,7.244671831215486,3.6741094155219245,5.4688078852283555,4.7495524877014965,6.796656024582807,4.529865736769998,5.953860211698665,5.690013823223157,6.843124368445619,4.086953218735928,5.473183887651467,5.205527587850687,480,1.0,0.9874941176798977,0.9660831044905134,0.9706329475338288,0.9836914648725636,0,0.0,0.2639098478886045,0.15929965619197273,0.22463933321529286,0.19123363621365738,6.990006404509139,3.6460820316206273,5.237016407963982,4.564831674909441,24,22.952393789917004,21.204670708933293,22.693252302659502,22.235225780348955,0.998209978346222,0.9511439575723125,0.9728334386958607,0.9772920609565847,480,480,4000.0,3904.0,3939.9166666666665,3904.0,81.47598543438343,75.92547356629886,78.91313617056939,80.11050456204478,167.6308323463045,148.7314640450589,162.16167398734518,157.3458542508027,23.7669342208521,22.19852249931756,23.39404435059068,22.800928677555397
front,40.0,oracle-power,training_window,3.3171932667973985,1.897244238174103,2.8151061488616107,2.2211033491860723,0.0658295508709861,0.03868277751863957,0.0551079744284966,0.04533834136908798,0.21919271248588668,0.1274552575564859,0.1825788265283971,0.1533157309702641,4.9259854952358975,2.7606769301536245,4.006468220928451,3.1357990493978574,3.317193266898099,1.897255126884539,2.8151066947406687,2.2211033522506503,0.21919271248588668,0.1274552575571623,0.18257882652857874,0.15331573097026424,4.9259854952358975,2.7606769301536245,4.006468220928917,3.135799049401665,5.265887291699267,3.6380764392792346,4.695585093003614,4.686480323681682,5.287899858682795,3.3336605153003314,4.565768904458157,3.9425633492936902,480,1.0,0.9918430331579211,0.9789682946295328,0.980210346066187,0.9881748718521318,0,0.0,0.2271923830696247,0.12810499010158413,0.19461364378244828,0.16200936564673446,6.124721737108134,2.814010641174028,4.342870636363375,3.3262651841791193,24,21.992967912631652,19.7674236274218,21.26464910728674,20.587417191405002,0.9918429361943586,0.9756795333512769,0.9802103376879154,0.9881748697036705,480,480,4000.0,3904.0,3939.9166666666665,3904.0,77.02809319366088,65.02990498339557,72.18910451108145,69.93636600976217,138.81808940642793,129.21277352489818,137.47742929842195,133.43760544816206,22.30378439861887,19.840092437416793,21.687411122999738,20.840332856939472
front,60.0,oracle-power,full_log,4.019588130726692,2.344664985489361,3.5713224010243003,2.8525399993896725,0.07439388525957,0.04465584232774538,0.06446521362327766,0.05363027822678969,0.2470702745277585,0.1539857283104096,0.21823350787469767,0.1843441642688805,6.857565361410559,3.4899157688134856,5.0575478256877675,4.32497688826207,4.373169540960205,2.3675373663075163,3.5937744301386663,2.8172134133634037,0.2513521420423847,0.15806775216859048,0.22488601278802256,0.19019896977859743,6.970054264192724,3.474443649578882,5.215236108581979,4.462574289118522,6.518639193603693,4.5479403977094925,5.778083464364937,5.57582813049504,6.518639193603693,4.047270756055033,5.397754444897491,5.328888520205657,480,1.0,0.9883167560348429,0.9680485225305439,0.9719888416193987,0.9840613160826844,0,0.0,0.25414628387276245,0.1539857283104096,0.21823350787469767,0.1843441642688805,6.857565361410559,3.44586633090527,5.0575478256877675,4.32497688826207,24,22.88797818903776,21.375681551944037,22.59213174491502,22.06838251817335,0.9909853012194942,0.9571926890948371,0.9730933425352722,0.9836645702626606,480,480,6000.0,5855.0,5909.6875,5856.0,81.02187802413668,76.17476974591364,78.76876042393599,79.34144388056544,167.6308323463045,149.90437255734173,163.10144071185505,157.4201158688699,23.57463000224599,21.94139141796411,23.20687281881527,22.68625101314575
