t_ms,t_s,seq,lis1_x,lis1_y,lis1_z,lis2_x,lis2_y,lis2_z,mmc_mG_x,mmc_mG_y,mmc_mG_z,angle_raw,temp_deciC,temp_C
323,0.323,0,984,-84,-264,-1020,24,-288,-300,749,-1218,2845,2147483647,214748364.7
333,0.333,1,984,-84,-276,-972,36,-288,-302,748,-1216,2844,2147483647,214748364.7
343,0.343,2,960,-84,-240,-960,24,-276,-305,751,-1225,2845,2147483647,214748364.7
353,0.353,3,972,-84,-240,-948,36,-252,-305,745,-1225,2845,2147483647,214748364.7
363,0.363,4,972,-72,-264,-948,24,-240,-307,747,-1223,2845,2147483647,214748364.7
373,0.373,5,984,-48,-360,-948,12,-252,-306,746,-1223,2845,2147483647,214748364.7
382,0.382,6,960,-60,-324,-948,24,-288,-306,744,-1221,2844,2147483647,214748364.7
393,0.393,7,960,-60,-264,-936,12,-252,-307,744,-1219,2845,2147483647,214748364.7
403,0.403,8,984,-84,-264,-936,24,-240,-307,745,-1221,2844,2147483647,214748364.7
413,0.413,9,972,-84,-276,-948,24,-228,-310,746,-1226,2845,2147483647,214748364.7
423,0.423,10,960,-84,-252,-948,60,-240,-312,748,-1218,2845,2147483647,214748364.7
433,0.433,11,960,-84,-264,-948,60,-252,-310,746,-1219,2845,2147483647,214748364.7
443,0.443,12,960,-72,-252,-948,60,-252,-309,744,-1219,2845,2147483647,214748364.7
453,0.453,13,960,-84,-264,-936,36,-228,-310,743,-1220,2845,2147483647,214748364.7
463,0.463,14,960,-72,-276,-948,24,-264,-313,740,-1218,2844,2147483647,214748364.7
473,0.473,15,972,-48,-288,-936,12,-252,-309,741,-1219,2845,2147483647,214748364.7
483,0.483,16,960,-60,-288,-936,36,-288,-309,740,-1219,2845,2147483647,214748364.7
493,0.493,17,972,-60,-288,-948,36,-276,-310,743,-1218,2844,2147483647,214748364.7
503,0.503,18,972,-60,-288,-948,24,-264,-311,742,-1215,2844,2147483647,214748364.7
513,0.513,19,972,-48,-276,-948,24,-288,-311,742,-1211,2845,2147483647,214748364.7
523,0.523,20,972,-84,-264,-948,12,-252,-310,740,-1208,2845,2147483647,214748364.7
533,0.533,21,972,-84,-264,-936,48,-252,-310,737,-1214,2845,2147483647,214748364.7
543,0.543,22,972,-72,-240,-948,60,-240,-311,741,-1211,2844,2147483647,214748364.7
553,0.553,23,972,-72,-264,-936,84,-252,-310,739,-1216,2845,2147483647,214748364.7
563,0.563,24,972,-84,-276,-948,84,-252,-312,743,-1214,2845,2147483647,214748364.7
573,0.573,25,972,-72,-276,-948,60,-228,-311,744,-1211,2845,2147483647,214748364.7
583,0.583,26,972,-84,-264,-948,48,-240,-308,744,-1213,2845,2147483647,214748364.7
593,0.593,27,972,-84,-276,-948,36,-252,-312,748,-1208,2845,2147483647,214748364.7
603,0.603,28,960,-60,-288,-924,24,-228,-312,745,-1209,2845,2147483647,214748364.7
613,0.613,29,960,-72,-264,-924,24,-264,-311,746,-1213,2845,2147483647,214748364.7
623,0.623,30,960,-72,-264,-924,24,-276,-314,743,-1214,2845,2147483647,214748364.7
633,0.633,31,960,-84,-252,-936,24,-288,-310,742,-1213,2845,2147483647,214748364.7
643,0.643,32,960,-96,-240,-936,60,-264,-313,740,-1210,2845,2147483647,214748364.7
653,0.653,33,972,-96,-252,-936,60,-252,-312,743,-1213,2845,2147483647,214748364.7
663,0.663,34,960,-84,-264,-948,48,-252,-312,741,-1211,2845,2147483647,214748364.7
673,0.673,35,960,-72,-252,-948,36,-240,-314,741,-1211,2845,2147483647,214748364.7
683,0.683,36,960,-72,-252,-936,60,-276,-313,742,-1214,2845,2147483647,214748364.7
693,0.693,37,960,-96,-252,-936,60,-264,-312,742,-1213,2844,2147483647,214748364.7
703,0.703,38,960,-60,-252,-948,48,-276,-313,742,-1211,2845,2147483647,214748364.7
713,0.713,39,960,-60,-240,-948,48,-288,-310,742,-1208,2845,2147483647,214748364.7
723,0.723,40,960,-48,-264,-924,24,-288,-312,744,-1213,2845,2147483647,214748364.7
733,0.733,41,960,-60,-276,-936,12,-276,-313,738,-1213,2845,2147483647,214748364.7
743,0.743,42,948,-60,-264,-948,24,-276,-310,740,-1215,2845,2147483647,214748364.7
753,0.753,43,960,-48,-288,-948,12,-252,-311,739,-1212,2845,2147483647,214748364.7
763,0.763,44,948,-72,-276,-924,48,-228,-309,738,-1214,2845,2147483647,214748364.7
773,0.773,45,960,-72,-264,-936,24,-216,-313,741,-1210,2845,2147483647,214748364.7
783,0.783,46,960,-84,-276,-936,12,-252,-311,740,-1209,2845,2147483647,214748364.7
793,0.793,47,972,-72,-252,-936,48,-252,-313,737,-1209,2844,2147483647,214748364.7
803,0.803,48,972,-84,-288,-936,24,-264,-313,740,-1207,2844,2147483647,214748364.7
813,0.813,49,984,-84,-288,-936,36,-264,-312,739,-1211,2845,2147483647,214748364.7
823,0.823,50,996,-60,-276,-924,36,-264,-312,739,-1211,2845,2147483647,214748364.7
833,0.833,51,984,-48,-276,-924,72,-300,-311,745,-1213,2844,2147483647,214748364.7
843,0.843,52,972,-60,-276,-912,36,-264,-312,744,-1215,2845,2147483647,214748364.7
853,0.853,53,948,-60,-252,-924,48,-276,-312,741,-1213,2845,2147483647,214748364.7
863,0.863,54,972,-72,-240,-924,48,-264,-311,746,-1213,2845,2147483647,214748364.7
873,0.873,55,984,-72,-264,-936,36,-276,-312,739,-1213,2844,2147483647,214748364.7
883,0.883,56,972,-72,-276,-948,24,-252,-312,745,-1212,2844,2147483647,214748364.7
